"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Akribeia Interior","Akribeia EPG Architecture & Engineering Singapore 

We focus on architectural plan and design for hotel, residential complex, houses, factories, office buildings, and other structures. Civil engineers design, build, and supervise infrastructure projects and systems. Property and Land consultants. Modular homes design and fabrication. Furniture and metal fabrication.","Architecture and Planning","51-200 employees","Partnership","Downtown Core, Central Singapore Community Development Council","Singapore","akribeiaepg.com","https://www.linkedin.com/company/akribeia-epg"
,"Arth","Arth: Revolutionizing the Construction Industry with Digital Solutions. 

Arth is dedicated to addressing critical challenges within the Architecture, Engineering, and Construction (AEC) industry. Through our customer-centric approach, we provide innovative services that empower businesses to transition from inefficient, people-dependent processes to data-driven digital solutions, resulting in heightened productivity and improved operational margins.

Our comprehensive suite of services caters to a range of industry professionals including Developers, Main Contractors, PMC Consultants, Engineering firms, Design Firms, Design Managers, and Modular Contractors. We understand the unique needs and pain points of each stakeholder, and our solutions are specifically crafted to meet their requirements effectively.

At Arth, we pride ourselves on our expertise, industry knowledge, and unwavering commitment to excellence. We collaborate closely with our clients, acting as trusted partners on their digital transformation journey. Together, we unlock the full potential of digital technologies, enabling unprecedented success in the ever-evolving construction landscape.

Join us in reimagining the future of construction. Connect with us to explore how our innovative digital solutions can propel your projects to new heights of success. Let's shape the built environment together.","Construction","201-500 employees","Privately Held","Singapore, Singapore","Singapore","arthtechglobal.com","https://www.linkedin.com/company/arth-team"
,"OBAYASHI SINGAPORE PRIVATE LIMITED","Obayashi Corporation (Singapore Office) established its operations in Singapore in 1965, predating Singapore’s history as a nation. The Singapore Office has since developed into one of the largest offices in Obayashi’s worldwide network. 

We are proud to be part of Obayashi Corporation's heritage and long history (https://www.obayashi.co.jp/en/). The predecessor of Obayashi Corporation was founded on January 25, 1892.  In February 1904, the company name was changed to Obayashi Corporation. The headquarter is in Minato, Tokyo, Japan.

From the very beginning, we have established a reputation of completing a string of iconic buildings such as the Tokyo Central Station (currently Tokyo Station) in 1914; the Hanshin Koshien Stadium (1924); and the reconstruction of the Main Tower of Osaka Castle (1931).  Since then, Obayashi Corporation has spread its wings to many other countries and the legacy of building iconic structures continues until today.

Since the start of operations in 1965, the Singapore Office has distinguished itself with numerous successful diverse projects. The East Coast Reclamation project began in 1965 and was Obayashi’s first major overseas civil engineering project in Singapore. Upon completion of the 20 year project in 1985, a total of 1,114 hectares (1.8% of Singapore’s land mass) had been reclaimed.

Obayashi Singapore Office has also contributed to Singapore’s landmark skyline with the construction of skyscrapers such as the Treasury Building (1986), SIA Building (1997), One Raffles Quay (2006), Ocean Financial Centre (2011) and Straits Trading Building (2009).

In January 2014, Obayashi’s operations in Singapore was formally localized into a subsidiary. Localization would enable the company to focus more on projects rooted in the region and enhance our track record that has made us one of the leading construction companies in Singapore.

We look forward to progress together with Singapore to the next 50 years milestone.","Construction","201-500 employees","Privately Held","Singapore, Singapore","Singapore","obayashi.com.sg","https://www.linkedin.com/company/obayashi-sg"
,"Akribeia Architecture","Akribeia EPG Architecture & Engineering Singapore 

We focus on architectural plan and design for hotel, residential complex, houses, factories, office buildings, and other structures. Civil engineers design, build, and supervise infrastructure projects and systems. Property and Land consultants. Modular homes design and fabrication. Furniture and metal fabrication.","Architecture and Planning","51-200 employees","Partnership","Downtown Core, Central Singapore Community Development Council","Singapore","akribeiaepg.com","https://www.linkedin.com/company/akribeia-a-e"
,"SCDA","SCDA is an international practice seamlessly integrating architecture, interiors, landscape and object-making to create holistic spatial experiences that are intrinsically sustainable. With offices in Singapore, Shanghai, Manila and New York City, SCDA has projects in over 70 locations across Asia, Africa, Europe, Oceania, and North America. In parallel, SCDA Lab pioneers social and cultural initiatives, applying research and design to enact measurable change and advance the environmental cause.","Architecture and Planning","51-200 employees","Public Company","Singapore","Singapore","scdaarchitects.com","https://www.linkedin.com/company/scda-architects"
,"Bachy Soletanche Singapore","Bachy Soletanche arrived in Singapore in the 1970’s. We are a subsidiary of the world’s foremost geotechnical specialist engineering contractor, Soletanche Bachy.

Involved on some of the country’s most outstanding infrastructure and iconic buildings, we have played a significant role to build the foundations to the Smart and Green city that Singapore is globally-recognised for today.

Our Vision is to be the preferred Geotechnical Contractor to Clients or Main Contractors, working as a partner or a specialist subcontractor. We strive to provide the highest value solutions to our Clients, bringing leading innovation and global competence to the local Singapore market. As a performance driven company, we are committed to the development of our people, within a culture of safety, innovation and excellence.
 
Since the 1980’s, the teams of Bachy Soletanche have been actively involved in the creation and expansion of the country’s mass transit rail network and large-scale underground projects for major infrastructure and building works, making Singapore a vibrant world class city with one of the most efficient transport systems in the world. Proud to have our name associated with more than 20 MRT stations both as a specialist subcontractor and as main contractor we remain the preferred specialist contractor for the most complicated and difficult underground structures. 
 
Soletanche Bachy Group is a main contractor specialising in geotechnical, soil technology, foundation works and civil engineering projects with a wide spectrum of geotechnical engineering processes, special foundations, underground works, ground improvement as well as pollution treatment and control.

It serves a wide range of clients in the public and private spaces including central and local governments, industrial, general building and civil engineering contractors as well as property developers. The company employs 12,000 employees in over 50 countries.","Construction","201-500 employees","Privately Held","Singapore","Singapore","bachy-soletanche.com.sg","https://www.linkedin.com/company/bachy-soletanche-singapore"
,"Wah Loon Engineering Pte Ltd","Wah Loon is one of the leading M&E engineering companies in Singapore today. We pride ourselves on who we are, a dynamic group offering across Singapore and Malaysia, full range of M&E services such as:
- Mechanical Engineering;
- Electrical Engineering;
- Systems Integration;
- Project Management.
Wah Loon combines since 2018 its local services to the momentum of a large group: VINCI Energies, a market leading systems integrator specializing in process automation and information systems.","Construction","201-500 employees","Privately Held","SINGAPORE, Singapore","Singapore","wahloon.com","https://www.linkedin.com/company/wah-loon-engineering-pte-ltd"
,"WOHA Architects","WOHA is an inter-disciplinary architectural firm based in Singapore. We integrate environmental principles at every stage of the design process, integrating strategies for biodiversity, sustainability, and the local vernacular to design responsive building solutions for the city of tomorrow. Our firm’s awareness of context and tradition is intertwined with an ongoing exploration of contemporary architectural questions, uniquely fusing practicality and invention.","Architecture and Planning","51-200 employees","Privately Held","Singapore, Singapore","Singapore","woha.net","https://www.linkedin.com/company/woha-architects"
,"Confluence Project Management","Confluence is a leading international consultancy with our people at the heart of our success.

Our team of talented employees collaborate together to provide independent, best-of-class solutions to clients in the property, construction and event industries across Asia, the Middle East, Europe and Australia.

We offer services in the areas of project and construction management, safety compliance, independent verification and specialist programming and planning.","Construction","201-500 employees","Privately Held",,"Singapore","fgould.com","https://www.linkedin.com/company/confluence-project-management"
,"Lum Chang Building Contractors Pte Ltd","Lum Chang Building Contractors (LCBC) is one of Singapore’s leading construction companies, consistently ranked by Singapore’s Building and Construction Authority (BCA) as a Grade A1 contractor under the Contractors Registry System and a Class 1 General Builder under the Licensing of Builders. LCBC offers the full suite of integrated construction services and solutions in both the private and public sectors. 

To date, LCBC’s expansive construction portfolio is valued at more than S$10.5 billion, consisting of many signature projects spanning the entire spectrum of the construction industry in Singapore and overseas and covering the following sectors:

1.	Commercial (offices, hotels)
2.	Residential (apartments, condominiums, executive-condominiums, landed properties)
3.	Industrial (warehouses, business parks, high-specification buildings)
4.	Mixed Developments 
5.	Institutional (schools, universities, hospitals, Government Buildings)
6.	Retail (shopping malls)","Construction","201-500 employees","Public Company","Singapore, Singapore","Singapore","lumchang.com.sg","https://www.linkedin.com/company/lum-chang-building-contractors-pte-ltd"
,"WOW Architects | Warner Wong Design","'OUR MISSION IS TO CREATE SPACES OF EXTRAORDINARY SENSORY EXPERIENCE ROOTED IN CULTURE, MEMORY AND PLACE'.

WOW is an international consultancy offering professional design services in architecture, interior and landscape design, and masterplanning. 

An award-winning firm recognized for extensive experience in cross-border services, our projects span the Asian region and extend as far as the Middle East and North Africa. Our core competency lies in the areas of hospitality, residential and commercial design with strong lifestyle-driven concepts. 

Established as Warner Wong Design in the year 2000 by Wong Chiu Man and Maria Warner Wong, WOW has since evolved into a dynamic design group. 

Our process driven design leads to in-depth exploration and thought, resulting in a unique approach to each project rather than a particular formula or style. The firm’s creations are stylistically inclusive and diverse; they harbour a strong sense of place and timelessness that engage the senses whilst delivering a spatial product in response to a client’s vision and business objectives.","Architecture and Planning","11-50 employees","Privately Held","Singapore, Singapore","Singapore","wow.sg","https://www.linkedin.com/company/wow-architects-warner-wong-design"
,"China Harbour (Singapore) Engineering Company Pte Ltd","China Harbour Engineering Company Ltd. (CHEC) is a subsidiary of China Communications Construction Company Ltd (CCCC), one of the Global Fortune 500 companies. CHEC has been developing and operating the oversea business on behalf of CCCC. Currently, CHEC has more than 60 oversea branch offices or subsidiaries serving clients in over 80 countries around the world.

CHEC is a leading provider of full services in Engineering-Procurement-Construction (EPC), Build-Operate-Transfer (BOT), and Public-Private-Partnership (PPP) for both public and private sectors. Our diverse infrastructure portfolio includes marine engineering, dredging and reclamation, road and bridge, railway, airport, equipment assembly. 

The Company has abundant expertise and experiences in other industries as well, such as building, municipal works, environmental, hydraulic engineering, power plant and energy, and resource exploration. By virtue of its advantages in technique, equipment, marketing and manpower, CHEC is providing prestigious services globally and becoming a world-renowned brand in the field of engineering.","Construction","201-500 employees","Privately Held","Singapore, Singapore","Singapore","chec.bj.cn","https://www.linkedin.com/company/china-harbour-singapore-engineering-company-pte-ltd"
,"The Singapore Contractors Association Ltd (SCAL)","The Singapore Contractors Association Limited (SCAL) is a not-for-profit organisation representing more than 3,000 construction firms and allied businesses in Singapore. 

Since 1937, SCAL plays a pivotal role in being the voice of the construction industry in Singapore through facilitating in various platforms such as bridging closer working relationships between businesses and government agencies, networking events for members, recognition and awards platforms and administering programmes to drive business success.

Over the years, SCAL has established 4 subsidiaries to better serve the construction industry needs. 

- SC2 Pte Ltd
- SCAL Academy Pte Ltd
- Singapore Construction Mediation Centre
- SCAL Resources

For more information, please visit www.scal.com.sg.","Construction","51-200 employees","Non Profit","Singapore","Singapore","scal.com.sg","https://www.linkedin.com/company/singapore-contractors-association-ltd"
,"Exaluma Homes","Exaluma 
• Prefabricated & modular homes design and fabrication.
• Structural building systems design and fabrication 
• Outdoor canopies and pergolas 
• Custom aluminum fabrication 

Residential • Commercial • Hotels","Residential Building Construction","11-50 employees","Privately Held","Downtown Core, Central Singapore Community Development Council","Singapore","exaluma.com","https://www.linkedin.com/company/eldenbrown"
,"AcePLP","AcePLP’s services are catered for engineering design and project management work. Our design support services are fully integrated and can be customised further for Singapore-based clients, covering Building Information Modelling (BIM), Computer-aided Design & Drafting (CADD), Print Management, Engineering Information Management, and BIM/CAD Corporate Training Services. 

We support most engineering disciplines such as Mechanical, Electrical, Civil, Structural, and Architectural, at project stages ranging from Conceptual Design to As-Built. Every AcePLP employee undergoes rigorous BIM and CADD skills training to support you on projects across a range of industries such as building, healthcare, transport (rail and roads), water treatment and public housing. 

AcePLP has advanced the workflow efficiency of architectural, engineering and construction projects for more than 15 years, supporting established engineering consultants and construction companies across the region. There are numerous advantages for using our services, including time and cost savings during the design phase. AcePLP will recommend and implement technological and HR solutions that best match your project needs.","Construction","201-500 employees","Privately Held","Bishan, Central","Singapore","aceplp.com.sg","https://www.linkedin.com/company/aceplp"
