company_name,job_count,job_titles,search_terms_matched,locations
THE SUPREME HR ADVISORY PTE. LTD.,36,"6723 - Procurement Specialist | Surveillance & Security Systems | $3.5k–$4.5k | Market research, contract management, cost optimisation; 6723 - Project Quantity Surveyor [Main Con | Expo | 5 days]; 6723 - Senior Quantity Surveyor [Expo]; AB03 - Senior Cash Flow Analyst (Contract Role) – Construction Industry, West; AB03 - Senior Financial Analyst (Cash Flow) – Contract Role, Construction; AB03 - Senior Financial Analyst – Cash Flow Focus (Contract, Construction) – West; AB03 - Senior Financial Analyst – Cash Flow Management (Contract, Construction); Construction Contracts Manager | Project Management - YL38; Construction Mechanical Engineer | Up to $4.5K | Contract Base | Lavender area - 0310; Contract Manager ( Construction Project ) | 1618; Contracts Manager ( QS ) | 1618; Contracts Manager [Changi | 5 days | up to $5500] - LCYL; Contracts Manager [Construction Projects] - Changi | 5 days [0580]; Junior  /  Senior Quantity Surveyor | A1 Builder | 5 Days A Week; Lead Quantity Surveyor | Up to $5K | 5.5 Days | Bukit Batok - 0310; Project Coordinator (Construction) | Contract Based - 0210; Project QS | A1 Builder [ Junior  /  Senior  /  Up to $4,800 ]; Quantity Surveyor (Landed house projects) [Ang Mo Kio | 5 / 6 days | up to $3500] - LCYL; Quantity Surveyor [ 3 Years Exp ]| East [ Expo MRT ] | 5 Days; Senior Architect (QP LIcense)-Basic up to $9000-6681; Senior Cash Flow Analyst - Contract role  /  Construction Industry  /  West [2683]; Senior Contracts Manager (Changi Project) - SS10; Senior Contracts Manager [Changi | 5.5 days | up to $10,000] - LCYL; Senior Contracts Manager [Construction  /  Building Projects] - Up to $10k [0580]; Senior QS | East | 5 Days | Up to $5,000 | Tendering & Costing; Senior Quantity Surveyor ( Consultancy Film ) |  1618; Senior Quantity Surveyor ( Fire Protection ) | 1618; Senior Quantity Surveyor ( Main Con ) | 1618; Senior Quantity Surveyor | East | 5 Days | Up to $5,000; Senior Quantity Surveyor | Up to $5K | 5.5 Days | Bukit Batok - 0310",Construction Contracts; Contracts Manager; Quantity Surveyor; Senior QS,Central; Islandwide
WECRUIT PTE. LTD.,23,Contracts & Tender Executive - WCAN; Logistics Tender Executive; Project Quantity Surveyor - WCAN; Quantity Surveyor (Civil Infrastructure) - WCAN; Regional Tender Executive (Freight Forwarding  /  East  /  5 days) [SAS]; Regional Tender Executive (Freight Forwarding  /  East); Regional Tender Executive (Freight Forwarding  /  Near Expo MRT  /  5 days); Regional Tender Executive (Logistics  /  3PL); Regional Tender Executive - Freight Forwarding Industry  /  East [SAS]; Senior Quantity Surveyor; Senior Quantity Surveyor (Construction); Senior Quantity Surveyor (Construction) [SL]; Senior Quantity Surveyor (Project) [SL]; Senior Quantity Surveyor (Projects); Senior Quantity Surveyor (Tender) [SL]; Senior Quantity Surveyor - WCAN; Senior Quantity Surveyor [SL],Quantity Surveyor; Senior QS; Tender Executive,Islandwide
RECRUITFLASH PTE. LTD.,23,"Quantity Surveyor  /  Senior Quantity Surveyor  /  Contracts Manager ( Construction /  Main Con experience  /  HBD Project exp ) Good Pay +Good Bonus; Senior Quantity Surveyor  /  Contracts Manager (Main Con, HDB Project); Senior Quantity Surveyor  /  QS  ( Construction /  Main Con experience; Senior Quantity Surveyor  /  QS  /   ( Construction /  Main Con experience; Senior Quantity Surveyor  /  QS  /  Contracts Manager ( Construction /  Main Con experience; Senior Quantity Surveyor  /  QS  /  Main Con; Senior Quantity Surveyor  /  QS Contracts Manager ( Construction /  Main Con experience  /  HBD Project exp ) Good Pay +Good Bonus; Senior Quantity Surveyor  /  Quantity Surveyor  /  Main Con; Senior Quantity Surveyor  / QS  /  Contracts Manager ( Construction /  Main Con experience  /  General Building  Project; Senior Quantity Surveyor  / QS  /  Contracts Manager ( Construction /  Main Con experience  /  General Building  Project exp ) Good Pay +Good Bonus; Senior Quantity Surveyor  / QS  /  Contracts Manager ( Construction /  Main Con experience  /  HBD Project exp ) Good Pay +Good Bonus",Construction Contracts; Contracts Manager; Quantity Surveyor; Senior QS,Islandwide
ANRADUS PTE. LTD.,9,Contract  /  Commercial Manager (Construction) #78278; Contract Manager #78640; Contracts Manager /  Senior Quantity Surveyor #77898; Cost Estimator /  Quantity Surveyor (HVAC Industry) #78929; Quantity Surveyor (Construction) #79387; Quantity Surveyor (Pre-Contract & Tender) #80656; Quantity Surveyor /  Contracts Executive #79429; Senior Quantity Surveyor (LTA Projects) #80622,Construction Contracts; Contracts Manager; Quantity Surveyor; Senior QS,Islandwide
EQUATOR SEARCH PTE. LTD.,8,ACMV Technician (Facilities Management)| Construction Industry; Electrical Supervisor |Construction Industry | LTA Project; FRC Technician (Facilities Management) | Construction Industry; ICC Technician (Facilities Management)| Mechanical and Electrical  | Construction Industry; LIFT MAINTENANCE TECHNICIAN CUM CLASS 3 DRIVER |EMSU ESSENTIAL MAINTENANCE SERVICE UNIT | FACILITIES MAINTENANCE | CONSTRUCTION INDUSTRY; Mechanical Technician (Facilities Management)| Construction Industry; Rebar /  System Formwork Supervisor |MainCon | Construction Industry; Technician (Facilities Management) | Construction Industry,Construction Contracts,Islandwide
HYPERSCAL SOLUTIONS PTE. LTD.,7,Project Engineer cum Quantity Surveyor,Quantity Surveyor,North
BUILDBRIDGE PARTNERS PTE. LTD.,7,Assistant Contract Manager (Building  /  A1 Main Contractor); Contract Manager (Building  /  A1 Main Contractor); Contract Manager (Data Centre / Data Center); Contract Manager (LTA Projects – Diaphragm Wall); Quantity Surveyor  /  Assistant Contract Manager (Data Center / Data Centre); Senior Quantity Surveyor (Building) Career Progression Opportunity – Senior QS Ready to Step Up to Assistant Contract Manager,Contracts Manager; Senior QS,Islandwide
CHINA CIVIL ENGINEERING CONSTRUCTION CORPORATION (NANYANG) PTE. LIMITED,7,Contracts Manager; Senior QS / Asst Contract Manager,Construction Contracts; Contracts Manager; Senior QS,Islandwide
CONSTRUCTION PROFESSIONALS PTE. LTD.,6,BIM Modeller (M&E  /  C&S  /  Archi); Resident Technical Officer (Archi); Resident Technical Officer (C&S); Resident Technical Officer (M&E); Senior Resident Architect  /  Resident Architect; Technical Executive,Construction Contracts,Islandwide
TRUST RECRUIT PTE. LTD.,5,Contract Manager (Construction  /  Progress Claim  /  Tender); Contract Manager (QS  /  Building /  HDB /  Nursing Home); Quantity Surveyor (Contract Management  /  LTA Project); Senior QS  /  QS (Nursing Home /  Building Construction /  5 days),Construction Contracts; Contracts Manager; Senior QS,Central; Islandwide
LONGXIANG CONSTRUCTION PTE. LTD.,5,M&E Contract Manager; Senior Contracts Manager (Tender); Senior Quantity Surveyor,Construction Contracts; Contracts Manager; Senior QS,East
JOB EXPRESS SERVICES PTE. LTD.,5,Assistant Contract Manager (A2 Construction Company) (Up to $7000  /  5 days  /  Kaki Bukit); Contract Manager (Renovation construction background) (Up to $8000  /  Kaki Bukit); Senior Quantity Surveyor (Renovation) (Up to $6000  /  Kaki Bukit),Construction Contracts; Contracts Manager; Senior QS,West
OUR RECRUITERS LLP,5,Contracts Manager; Contracts Manager (Building); Deputy Contracts Manager / Senior QS; M&E QS Manager  / Contracts Manager; QUANTITY SURVEYOR  /  Senior QUANTITY SURVEYOR,Contracts Manager; Senior QS,Islandwide
CAREERALLY PTE. LTD.,5,Construction Manager (2 year contract); Construction Project Manager (2 year contract); Project Civil Engineer - Construction (East  /  2 year contract); Tender & Contracts Executive - Construction (2 year contract  /  East),Construction Contracts; Tender Executive,Islandwide
PHOENIX RECRUITMENT PTE. LTD.,4,Contracts Manager (Tendering) – Building Projects; QUANTITY SURVEYOR (Building Projects) x 2 (1 x for Tender  /  1 x for HDB Project); SENIOR QS (Building Projects) x 2 (1 for Projects  /  1 for Tendering),Contracts Manager; Quantity Surveyor; Senior QS,Central
HOME FIBRE INDUSTRIAL PTE LTD,4,ID Quantity Surveyor; Quantity Surveyor,Quantity Surveyor,North
EA RECRUITMENT PTE. LTD.,4,Cost & Estimation Engineer  /  QS (Quantity Surveyor) – ELV / BMS; Senior Quantity Surveyor (LTA  /  West); Senior Quantity Surveyor (Tender & Estimation) – Main Construction  /  Developer,Quantity Surveyor; Senior QS,Islandwide
HO LEE CONSTRUCTION PTE LTD,4,Contract Manager / Deputy Contract Manager; Senior Quantity Surveyor,Construction Contracts; Contracts Manager; Senior QS,East
LINKEDCORP HR CONSULTANCY PTE. LTD.,4,"Contract Manager[ 5.5 days / East / Construction / Civil / Background in Quantity Surveying (QS) or Contracts ]; Senior Contracts Manager[East / contract management experience within the construction industry, with a proven track record on large-scale projects]; Senior Site Quantity Surveyor[ Central areas / Maincon /  5 Day A Week]",Construction Contracts; Contracts Manager; Senior QS,Central
RICH CONSTRUCTION COMPANY PTE. LTD.,4,Assistant Contracts Manager; Senior Quantity Surveyor; Senior Quantity Surveyor (Tender),Construction Contracts; Contracts Manager; Senior QS,Central
WEE POH CONSTRUCTION CO. (PTE.) LTD.,4,Contracts Manager / Deputy Contracts Manager; Senior QS,Construction Contracts; Contracts Manager; Senior QS,Islandwide
YENG TONG CONSTRUCTION PTE LTD,4,Contract Manager; Senior Contracts Manager,Construction Contracts; Contracts Manager,Islandwide
GS ENGINEERING & CONSTRUCTION CORP.,4,GEOTECHNICAL ENGINEER; HR EXECUTIVE; SITE ENGINEER; STRUCTURAL ENGINEER,Construction Contracts,Islandwide
WITFLUX ENGINEERING PTE. LTD.,3,ASST CONTRACT MANAGER; CONTRACT MANAGER; QUANTITY SURVEYOR (QS),Contracts Manager; Quantity Surveyor,Islandwide; North
