company_name,job_title,location,salary,employment_type,seniority,category,applications,posted_date,search_term,job_url,scraped_date
TSTAR RECRUIT PTE. LTD.,Quantity Surveyor (Cost Planning),Islandwide,"$3,000to$4,000 Monthly",Permanent ...,Executive,Building and Construction,0 application,Posted today,Quantity Surveyor,https://www.mycareersfuture.gov.sg/job/building-construction/quantity-surveyor-tstar-recruit-36dac81a6cdd4ab6217294c780569810?source=MCF&event=Search,2026-01-14
KIM YEW INTEGRATED PTE. LTD.,Quantity Surveyor,Islandwide,"$3,200to$5,000 Monthly",Full Time,Executive,Building and Construction ...,0 application,Posted today,Quantity Surveyor,https://www.mycareersfuture.gov.sg/job/building-construction/quantity-surveyor-kim-yew-integrated-4b842d1a471197bf90c6eb83e6c55d82?source=MCF&event=Search,2026-01-14
BYO CONSTRUCTION PTE. LTD.,Senior Quantity Surveyor,Central,"$4,000to$6,000 Monthly",Full Time,Senior Executive,Building and Construction,3 applications,Posted 17 days ago,Quantity Surveyor,https://www.mycareersfuture.gov.sg/job/building-construction/senior-quantity-surveyor-byo-construction-df0c724cee507234896be117901fd456?source=MCF&event=SuggestedJob,2026-01-14
WECRUIT PTE. LTD.,Project Quantity Surveyor - WCAN,Islandwide,"$6,000to$8,000 Monthly",Permanent ...,Senior Executive,Building and Construction,0 application,Posted today,Quantity Surveyor,https://www.mycareersfuture.gov.sg/job/building-construction/project-quantity-surveyor-wcan-wecruit-86fc80ac8089b6c54dc197e824ee429e?source=MCF&event=Search,2026-01-14
WECRUIT PTE. LTD.,Quantity Surveyor (Civil Infrastructure) - WCAN,Islandwide,"$6,000to$8,000 Monthly",Permanent ...,Senior Executive,Building and Construction,0 application,Posted today,Quantity Surveyor,https://www.mycareersfuture.gov.sg/job/building-construction/quantity-surveyor-wcan-wecruit-a395d7435041d400c9c8977d2d7b686d?source=MCF&event=Search,2026-01-14
WECRUIT PTE. LTD.,Senior Quantity Surveyor - WCAN,Islandwide,"$6,000to$8,000 Monthly",Permanent ...,Senior Executive,Building and Construction,0 application,Posted today,Quantity Surveyor,https://www.mycareersfuture.gov.sg/job/building-construction/senior-quantity-surveyor-wcan-wecruit-aa90294b172cf41580fed87377c61740?source=MCF&event=Search,2026-01-14
SYSENG (S) PTE. LTD.,Quantity Surveyor,East,"$3,200to$4,500 Monthly",Full Time,Junior Executive,Building and Construction,0 application,Posted today,Quantity Surveyor,https://www.mycareersfuture.gov.sg/job/building-construction/quantity-surveyor-syseng-3294e604504291d61479a6253af1faa6?source=MCF&event=Search,2026-01-14
RANDSTAD PTE. LIMITED,ID Quantity Surveyor-5 day work (Quotation-Office Reno),Central,"$4,000to$4,800 Monthly",Permanent ...,Executive,Building and Construction ...,0 application,Posted today,Quantity Surveyor,https://www.mycareersfuture.gov.sg/job/building-construction/id-quantity-surveyor-5-day-work-randstad-e9677416ad1ec56ee2ba4442fe38d0e3?source=MCF&event=Search,2026-01-14
THE SUPREME HR ADVISORY PTE. LTD.,Quantity Surveyor (Landed house projects) [Ang Mo Kio | 5 / 6 days | up to $3500] - LCYL,Central,"$3,000to$3,500 Monthly",Permanent ...,Executive,Architecture / Interior Design ...,0 application,Posted today,Quantity Surveyor,https://www.mycareersfuture.gov.sg/job/architecture/quantity-surveyor-ang-mo-kio-5-6-days-3500-lcyl-supreme-hr-advisory-831ef4bd0d7f6263adb453f41172f1c5?source=MCF&event=Search,2026-01-14
THE SUPREME HR ADVISORY PTE. LTD.,6723 - Senior Quantity Surveyor [Expo],Islandwide,"$3,500to$4,800 Monthly",Permanent ...,Professional,Building and Construction ...,0 application,Posted today,Quantity Surveyor,https://www.mycareersfuture.gov.sg/job/building-construction/6723-senior-quantity-surveyor-expo-supreme-hr-advisory-d6214b445826ef732139b6caea89f04f?source=MCF&event=Search,2026-01-14
THE SUPREME HR ADVISORY PTE. LTD.,6723 - Project Quantity Surveyor [Main Con | Expo | 5 days],Islandwide,"$3,500to$4,800 Monthly",Permanent ...,Executive,Building and Construction ...,0 application,Posted today,Quantity Surveyor,https://www.mycareersfuture.gov.sg/job/building-construction/6723-project-quantity-surveyor-main-con-expo-5-days-supreme-hr-advisory-ffff246412f7ea72cbbfcf44035eb156?source=MCF&event=Search,2026-01-14
CHYE JOO CONSTRUCTION PTE LTD,Senior Quantity Surveyor (Contracts & Claims Management),West,"$4,000to$6,500 Monthly",Permanent ...,Senior Executive,Building and Construction,0 application,Posted today,Quantity Surveyor,https://www.mycareersfuture.gov.sg/job/building-construction/senior-quantity-surveyor-chye-joo-construction-aecb256c3b5c2156f4e0dba76f01c9a8?source=MCF&event=Search,2026-01-14
HUA LEONG GROUP PTE. LTD.,Quantity Surveyor,East,"$3,000to$5,900 Monthly",Full Time,Professional,Building and Construction,0 application,Posted today,Quantity Surveyor,https://www.mycareersfuture.gov.sg/job/building-construction/quantity-surveyor-hua-leong-group-144c1cee0554f0fc93684c45fabb247f?source=MCF&event=Search,2026-01-14
