company_name,member_type,address,registration,member_id,profile_url,source,scraped_date
@BSOLUTE AIRCON PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,7865,https://www.scal.com.sg/memberlisting-details/7865-bsolute-aircon-pte-ltd,SCAL Member Directory,2026-01-14
1 STOP WATERPROOFING PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,4286,https://www.scal.com.sg/memberlisting-details/4286-1-stop-waterproofing-pte-ltd,SCAL Member Directory,2026-01-14
1-SOLUTIONING PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,7709,https://www.scal.com.sg/memberlisting-details/7709-1-solutioning-pte-ltd,SCAL Member Directory,2026-01-14
25 DEGREES PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,4287,https://www.scal.com.sg/memberlisting-details/4287-25-degrees-pte-ltd,SCAL Member Directory,2026-01-14
3A COMPOSITES ASIA PACIFIC PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,2857,https://www.scal.com.sg/memberlisting-details/2857-3a-composites-asia-pacific-pte-ltd,SCAL Member Directory,2026-01-14
3BAO ACMV ENGINEERING PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,7815,https://www.scal.com.sg/memberlisting-details/7815-3bao-acmv-engineering-pte-ltd,SCAL Member Directory,2026-01-14
3D CREATIVE DESIGN PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,7813,https://www.scal.com.sg/memberlisting-details/7813-3d-creative-design-pte-ltd,SCAL Member Directory,2026-01-14
3H AIR CONDITIONING & ENGINEERING PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,7560,https://www.scal.com.sg/memberlisting-details/7560-3h-air-conditioning-engineering-pte-ltd,SCAL Member Directory,2026-01-14
3K CONSTRUCTION PTE LTD,SLOTS,"10 Tannery Lane, Singapore 347773",,4288,https://www.scal.com.sg/memberlisting-details/4288-3k-construction-pte-ltd,SCAL Member Directory,2026-01-14
3M BUILDERS PRIVATE LIMITED,SLOTS,"10 Tannery Lane, Singapore 347773",,6193,https://www.scal.com.sg/memberlisting-details/6193-3m-builders-private-limited,SCAL Member Directory,2026-01-14
