company_name,job_count,job_titles,search_terms_matched,locations
RECRUIT EXPRESS PTE LTD,14,"(Healthcare Logistics) Procurement Executive UP$4500 @Kallang [Dip  /  Deg in Supply Chain, Business] #HCY; *New* Admin Assistant (Office Hours, 5 Days, No Experience Required – Training Provided) #HJG; 1 Year Contract Senior Procurement & Vendor Management Executive (Foreign Bank) #BLM; Procurement Executive (Bukit Batok) #NKC; Procurement Executive (East, Up to 4k+) #HFT; Procurement Executive (LOGISTICS MNC) - West / up to $4.4k #HAO; Procurement Executive (Up to $4,000) #NKC; Procurement Executive UP$4500 @Kallang [Dip /  Deg in Supply Chain, Business] #HCY; Senior Procurement Executive  /  Purchasing Executive (Bukit Batok) #JLN",pricing analyst; procurement executive; purchasing manager construction; sales director distributor; senior buyer; senior purchasing manager,Central; Islandwide
THE SUPREME HR ADVISORY PTE. LTD.,14,"6723 - Operations Procurement Executive | Facilities & Infrastructure | $3k–$4.3k | Procurement operations, licensing, asset management; 6723 - Procurement Executive ( Engineering Industry ); 6723 - Procurement Executive [Jurong East | M&E, construction, engineering, facilities management, or manufacturing sectors]; Procurement Executive (Sourcing  /  Ang Mo Kio  /  Electronics) - SS10; Procurement Executive (Sourcing) [Ang Mo Kio | 5 days | up to $4000] - LCYL; Procurement Executive (Sourcing)-6681; Procurement Executive (Sourcing)| Up to 4k- 0115; Procurement Executive [Ang mo kio] - 2323; Procurement Executive | Sourcing | Semicon Industry | AMK | 5 Days | Up To $4K - 4461; Procurement Executive – Engineering  /  /  Facilities | Jurong East - Up to $4.5k [0580]; Procurement Executive – Industrial  /  Manufacturing Components | 5 days - AMK [0580]; Senior Purchasing  /  Buyer [ Supplier Sourcing | Procurement ]; Senior Supply Chain Officer [ Supplier Sourcing | Procurement ]; Sourcing Executive  /  Procurement [ Northeast  /  5 days ] 7094",procurement executive; senior buyer,Central; Islandwide
LUMINARY SERVICE PTE. LTD.,11,Finance Manager; HR Manager,category manager wholesale; operations director; pricing analyst; purchasing manager construction; sales director distributor; senior buyer; senior purchasing manager,Central
RANDSTAD PTE. LIMITED,9,Business Pricing Analyst (Automotive  /  Up-to $5k); Buyer  /  Procurement Executive (Semiconductor); Executive Assistant,catalog manager; operations director; pricing analyst; pricing manager MRO; procurement executive; purchasing manager construction; sales director distributor; senior purchasing manager,Central
BUSINESS EDGE PERSONNEL SERVICES PTE LTD,8,"Admin Receptionist; Senior Executive, Procurement | 3 months | Boon Lay; Senior Procurement & Sourcing Specialist",commercial director wholesale; pricing analyst; product manager electronics distributor; purchasing manager construction; sales director distributor; senior buyer; senior purchasing manager,Central
RAPIDO LOGISTICS PTE. LTD.,7,LOGISTICS MANAGER,buyer building materials; category manager industrial; pricing analyst; product manager electronics distributor; purchasing manager construction; sales director distributor; senior purchasing manager,Central
SINOLOGISTICS  OVERSEAS PTE. LTD.,7,Senior Accountant,pricing analyst; pricing specialist IT; procurement distributor; purchasing manager construction; sales director distributor; senior buyer; senior purchasing manager,Central
JCPARTNERS PAC,7,Admin Executive,category manager industrial; commercial director wholesale; pricing analyst; purchasing manager construction; sales director distributor; senior pricing analyst; senior purchasing manager,Central
ALPS PTE. LTD.,7,"Associate Executive, Procurement; Manager /  Senior Manager, Procurement; Senior Executive /  Assistant Manager, Procurement; Senior Executive /  Assistant Manager, Procurement (1 Year Contract); Senior Manager (Strategic Procurement - Medical Technology)",procurement executive; senior purchasing manager,Islandwide; South
RESORTS WORLD AT SENTOSA PTE. LTD.,7,"Procurement Executive, Data & Analytics (18 Months Contract); Senior Executive / Executive, Procurement (Central); Senior Executive / Executive, Procurement (F&B - 18 months Contract); Senior Executive / Executive, Procurement (Systems Support - 18 Months Contract)",procurement executive; senior buyer,Central
APCO WORLDWIDE ADVISORY SERVICES PTE. LIMITED,6,Executive Assistant,pricing analyst; purchasing manager construction; sales director distributor; senior category manager; senior pricing analyst; senior purchasing manager,Central
NAFA SYSTEM SERVICES PTE LTD,6,Admin Assistant,pricing analyst; pricing manager MRO; procurement distributor; purchasing manager construction; sales director distributor; senior purchasing manager,East
LATE APRIL PTE. LTD.,6,Accountant (Family Office),buyer building materials; pricing analyst; purchasing manager construction; sales director distributor; senior category manager; senior purchasing manager,East
FLINTEX CONSULTING PTE. LTD.,6,Procurement Executive  /  Engineer; Purchasing Planning Executive  /  Senior Executive; Senior Procurement Manager (APAC),procurement executive; senior buyer; senior purchasing manager,Central
GCL GLOBAL PTE. LTD.,5,Senior Accountant,pricing analyst; procurement executive; purchasing manager construction; sales director distributor; senior purchasing manager,North
GOLDVEIN PTE. LTD.,5,Group Finance Manager,pricing analyst; pricing specialist IT; purchasing manager construction; sales director distributor; senior purchasing manager,Central
PELYNOOBAKES PTE. LTD.,5,Part Time Cookie Packer,category manager wholesale; pricing analyst; purchasing manager construction; sales director distributor; senior purchasing manager,North
2KBROS ENGINEERING PTE. LTD.,5,Accounts & HR Admin Executive,catalog manager; pricing analyst; purchasing manager construction; sales director distributor; senior purchasing manager,Central
TALENT TITANS PTE. LTD.,5,Senior Procurement Executive (Cruise Ship),procurement executive; senior buyer,Islandwide
ANRADUS PTE. LTD.,4,Cost Engineer  /  Pricing Analyst #81262; Purchasing Executive #81403; Purchasing Executive / Buyer #78152,pricing analyst; procurement executive,Islandwide
HEARTLAND FAMILY CLINIC PTE. LTD.,4,Patient Service Associate  /  Clinic Assistant (Permanent Part-time),pricing analyst; purchasing manager construction; sales director distributor; senior purchasing manager,North
MIDAS ENVIRONMENT BUILDER PTE. LTD.,4,Admin Cum Account,pricing analyst; purchasing manager construction; sales director distributor; senior purchasing manager,North
COZY CREATIONS MANUFACTURING PTE. LTD.,4,WAREHOUSE SUPERVISOR,pricing analyst; purchasing manager construction; sales director distributor; senior purchasing manager,East
