company_name,job_title,location,salary,employment_type,seniority,category,applications,posted_date,search_term,job_url,scraped_date
RSM STONE FOREST ACCOUNTSERVE PTE. LTD.,Transfer Pricing,Central,"$8,500to$9,500 Monthly",Full Time,Middle Management,Accounting / Auditing / Taxation,0 application,Posted today,pricing analyst,https://www.mycareersfuture.gov.sg/job/accounting/transfer-pricing-rsm-stone-forest-accountserve-37e401cc01f967f6ef60263290e5a911?source=MCF&event=Search,2026-01-14
HUDSON RPO (SINGAPORE) PTE. LTD.,"12 Months Pricing Analyst, Raffles Place",Islandwide,"$4,000to$4,300 Monthly",Contract ...,Non-executive,Accounting / Auditing / Taxation ...,1 application,Posted yesterday,pricing analyst,https://www.mycareersfuture.gov.sg/job/accounting/12-months-pricing-analyst-raffles-place-hudson-rpo-62f1ac6825f6fb1d85848bf783f2e866?source=MCF&event=Search,2026-01-14
APCO WORLDWIDE ADVISORY SERVICES PTE. LIMITED,Executive Assistant,Central,"$4,000to$7,500 Monthly",Permanent,Executive,Admin / Secretarial,40 applications,Posted 2 days ago,pricing analyst,https://www.mycareersfuture.gov.sg/job/admin/executive-assistant-apco-worldwide-advisory-services-fc627909f340d43f1afae4c7e132a4a2?source=MCF&event=SuggestedJob,2026-01-14
ANRADUS PTE. LTD.,Cost Engineer  /  Pricing Analyst #81262,Islandwide,"$3,000to$4,000 Monthly",Permanent ...,Junior Executive,Engineering ...,1 application,Posted yesterday,pricing analyst,https://www.mycareersfuture.gov.sg/job/engineering/cost-engineer-pricing-analyst-81262-anradus-a3a90b438fb380137cbb81da2c789a04?source=MCF&event=Search,2026-01-14
ROBERT WALTERS (SINGAPORE) PTE LTD,Markets Pricing Analyst,Central,"$8,000to$9,000 Monthly",Contract ...,Middle Management,Banking and Finance,14 applications,Posted 6 days ago,pricing analyst,https://www.mycareersfuture.gov.sg/job/banking-finance/markets-pricing-analyst-robert-walters-cc78a248adc9d06ea3e6c5a46b0ef313?source=MCF&event=Search,2026-01-14
RANDSTAD PTE. LIMITED,Business Pricing Analyst (Automotive  /  Up-to $5k),Central,"$4,000to$5,000 Monthly",Permanent,Non-executive,Others,20 applications,Posted 7 days ago,pricing analyst,https://www.mycareersfuture.gov.sg/job/others/business-pricing-analyst-randstad-06f45c984c1f67f69242f13f3a63ba36?source=MCF&event=Search,2026-01-14
PKF-CAP  LLP,Transfer Pricing Associate,Central,"$3,200to$4,000 Monthly",Full Time,Executive,Accounting / Auditing / Taxation,1 application,Posted 7 days ago,pricing analyst,https://www.mycareersfuture.gov.sg/job/accounting/transfer-pricing-associate-pkf-cap-8e96c2eff486e4bc43582f89f29545e6?source=MCF&event=Search,2026-01-14
NPI SOLUTIONS (SINGAPORE) (PTE.) LTD.,Pricing Analyst /  Quoter  / Costing Engineer,North,"$3,000to$3,800 Monthly",Full Time,Executive,Manufacturing,2 applications,Posted 28 days ago,pricing analyst,https://www.mycareersfuture.gov.sg/job/manufacturing/pricing-analyst-quoter-costing-engineer-npi-solutions-48c7a16c63c815318f5069610bbf7d64?source=MCF&event=Search,2026-01-14
BUSINESS EDGE PERSONNEL SERVICES PTE LTD,Admin Receptionist,Central,"$3,000to$4,500 Monthly",Full Time,Junior Executive,Admin / Secretarial,68 applications,Posted 2 days ago,pricing analyst,https://www.mycareersfuture.gov.sg/job/admin/admin-receptionist-business-edge-personnel-services-68b5c9961b9ab624b36f2ccca4793c82?source=MCF&event=SuggestedJob,2026-01-14
GCL GLOBAL PTE. LTD.,Senior Accountant,North,"$5,500to$7,000 Monthly",Full Time,Professional,Accounting / Auditing / Taxation,28 applications,Posted 2 days ago,pricing analyst,https://www.mycareersfuture.gov.sg/job/accounting/senior-accountant-gcl-global-81aa30b159ca01445fca0d4fc20914eb?source=MCF&event=SuggestedJob,2026-01-14
NAFA SYSTEM SERVICES PTE LTD,Admin Assistant,East,"$2,500to$3,000 Monthly",Permanent ...,Non-executive,Admin / Secretarial,33 applications,Posted 2 days ago,pricing analyst,https://www.mycareersfuture.gov.sg/job/admin/admin-assistant-nafa-system-services-344e431e25b737b93cb87987505dfd5a?source=MCF&event=SuggestedJob,2026-01-14
GOLDVEIN PTE. LTD.,Group Finance Manager,Central,"$8,000to$10,000 Monthly",Permanent,Senior Management,Accounting / Auditing / Taxation,51 applications,Posted 2 days ago,pricing analyst,https://www.mycareersfuture.gov.sg/job/accounting/group-finance-manager-goldvein-1cfb49285695c5705b1df03e42d94360?source=MCF&event=SuggestedJob,2026-01-14
HEARTLAND FAMILY CLINIC PTE. LTD.,Patient Service Associate  /  Clinic Assistant (Permanent Part-time),North,"$200to$2,600 Monthly",Part Time,Fresh/entry level,Admin / Secretarial ...,23 applications,Posted 2 days ago,pricing analyst,https://www.mycareersfuture.gov.sg/job/admin/patient-service-associate-clinic-assistant-heartland-family-clinic-d7e7af2fa4cb7cceeffdb111ec84accc?source=MCF&event=SuggestedJob,2026-01-14
MIDAS ENVIRONMENT BUILDER PTE. LTD.,Admin Cum Account,North,"$2,800to$4,200 Monthly",Part Time ...,Senior Executive,Accounting / Auditing / Taxation,7 applications,Posted 2 days ago,pricing analyst,https://www.mycareersfuture.gov.sg/job/accounting/admin-cum-account-midas-environment-builder-4496d8436d598cc1cd4ed41fee15e709?source=MCF&event=SuggestedJob,2026-01-14
COZY CREATIONS MANUFACTURING PTE. LTD.,WAREHOUSE SUPERVISOR,East,"$3,000to$5,000 Monthly",Full Time,Middle Management,Logistics / Supply Chain,33 applications,Posted 4 days ago,pricing analyst,https://www.mycareersfuture.gov.sg/job/logistics/warehouse-supervisor-cozy-creations-manufacturing-5e298640e2a29acb34297133f59f4e75?source=MCF&event=SuggestedJob,2026-01-14
PELYNOOBAKES PTE. LTD.,Part Time Cookie Packer,North,"$1,760to$1,800 Monthly",Temporary,Fresh/entry level,F&B,10 applications,Posted 3 days ago,pricing analyst,https://www.mycareersfuture.gov.sg/job/food-and-beverage/part-time-cookie-packer-pelynoobakes-d80ca9de9bc1558965a3def7b41b75b6?source=MCF&event=SuggestedJob,2026-01-14
RANDSTAD PTE. LIMITED,Executive Assistant,Central,"$5,500to$7,500 Monthly",Permanent,Senior Executive,Admin / Secretarial,104 applications,Posted 4 days ago,pricing analyst,https://www.mycareersfuture.gov.sg/job/admin/executive-assistant-randstad-e4a48fba80b9fe4999012db3678a268a?source=MCF&event=SuggestedJob,2026-01-14
RECRUIT EXPRESS PTE LTD,"*New* Admin Assistant (Office Hours, 5 Days, No Experience Required – Training Provided) #HJG",Central,"$1,500to$3,500 Monthly",Temporary ...,Fresh/entry level,Admin / Secretarial ...,61 applications,Posted 3 days ago,pricing analyst,https://www.mycareersfuture.gov.sg/job/admin/new-admin-assistant-hjg-recruit-express-be9059d435b80b8948c3d4f28c179b41?source=MCF&event=SuggestedJob,2026-01-14
RAPIDO LOGISTICS PTE. LTD.,LOGISTICS MANAGER,Central,"$7,500to$11,000 Monthly",Full Time,Manager,Logistics / Supply Chain,78 applications,Posted 4 days ago,pricing analyst,https://www.mycareersfuture.gov.sg/job/logistics/logistics-manager-rapido-logistics-a31c128f720657a45546800411226eef?source=MCF&event=SuggestedJob,2026-01-14
SINOLOGISTICS  OVERSEAS PTE. LTD.,Senior Accountant,Central,"$4,000to$6,000 Monthly",Full Time,Manager,Accounting / Auditing / Taxation,30 applications,Posted 3 days ago,pricing analyst,https://www.mycareersfuture.gov.sg/job/accounting/senior-accountant-sinologistics-overseas-49d00a546268a9933295d66d2eefd6e0?source=MCF&event=SuggestedJob,2026-01-14
JCPARTNERS PAC,Admin Executive,Central,"$3,000to$3,300 Monthly",Full Time,Executive,Accounting / Auditing / Taxation ...,49 applications,Posted 2 days ago,pricing analyst,https://www.mycareersfuture.gov.sg/job/accounting/admin-executive-jcpartners-pac-3b44509476f59e30dd2ed9920629867d?source=MCF&event=SuggestedJob,2026-01-14
LUMINARY SERVICE PTE. LTD.,Finance Manager,Central,"$9,000to$16,800 Monthly",Full Time,Manager,Accounting / Auditing / Taxation ...,125 applications,Posted 2 days ago,pricing analyst,https://www.mycareersfuture.gov.sg/job/accounting/finance-manager-luminary-service-0f6794aeb93a1f1865b4846ee47d5f22?source=MCF&event=SuggestedJob,2026-01-14
LUMINARY SERVICE PTE. LTD.,HR Manager,Central,"$7,000to$12,800 Monthly",Full Time,Manager,Admin / Secretarial ...,72 applications,Posted 2 days ago,pricing analyst,https://www.mycareersfuture.gov.sg/job/admin/hr-manager-luminary-service-9bbf9bb553a62eebf88766dd89599413?source=MCF&event=SuggestedJob,2026-01-14
LATE APRIL PTE. LTD.,Accountant (Family Office),East,"$3,000to$4,500 Monthly",Part Time ...,Senior Executive,Accounting / Auditing / Taxation,33 applications,Posted 4 days ago,pricing analyst,https://www.mycareersfuture.gov.sg/job/accounting/accountant-late-april-a175242e2d1ac509eca9e377e1e4d27b?source=MCF&event=SuggestedJob,2026-01-14
TATA COMMUNICATIONS INTERNATIONAL PTE. LTD.,Global Brand & Regional Marketing Head,North,"$17,000to$24,000 Monthly",Permanent ...,Senior Management,Marketing / Public Relations,39 applications,Posted 2 days ago,pricing analyst,https://www.mycareersfuture.gov.sg/job/marketing/global-brand-regional-marketing-head-tata-communications-international-e1160806280f2619d96ff1dcb6b31a4f?source=MCF&event=SuggestedJob,2026-01-14
2KBROS ENGINEERING PTE. LTD.,Accounts & HR Admin Executive,Central,"$2,500to$4,500 Monthly",Permanent,Junior Executive,Accounting / Auditing / Taxation ...,28 applications,Posted 4 days ago,pricing analyst,https://www.mycareersfuture.gov.sg/job/accounting/accounts-hr-admin-executive-2kbros-engineering-aa4f476d223e9e570976859b9a76d49b?source=MCF&event=SuggestedJob,2026-01-14
PELYNOOBAKES PTE. LTD.,Part Time Cookie Packer,North,"$1,760to$1,800 Monthly",Temporary,Fresh/entry level,F&B,10 applications,Posted 3 days ago,category manager wholesale,https://www.mycareersfuture.gov.sg/job/food-and-beverage/part-time-cookie-packer-pelynoobakes-d80ca9de9bc1558965a3def7b41b75b6?source=MCF&event=SuggestedJob,2026-01-14
LUMINARY SERVICE PTE. LTD.,Finance Manager,Central,"$9,000to$16,800 Monthly",Full Time,Manager,Accounting / Auditing / Taxation ...,125 applications,Posted 2 days ago,category manager wholesale,https://www.mycareersfuture.gov.sg/job/accounting/finance-manager-luminary-service-0f6794aeb93a1f1865b4846ee47d5f22?source=MCF&event=SuggestedJob,2026-01-14
SINOLOGISTICS  OVERSEAS PTE. LTD.,Senior Accountant,Central,"$4,000to$6,000 Monthly",Full Time,Manager,Accounting / Auditing / Taxation,30 applications,Posted 3 days ago,procurement distributor,https://www.mycareersfuture.gov.sg/job/accounting/senior-accountant-sinologistics-overseas-49d00a546268a9933295d66d2eefd6e0?source=MCF&event=SuggestedJob,2026-01-14
NAFA SYSTEM SERVICES PTE LTD,Admin Assistant,East,"$2,500to$3,000 Monthly",Permanent ...,Non-executive,Admin / Secretarial,33 applications,Posted 2 days ago,procurement distributor,https://www.mycareersfuture.gov.sg/job/admin/admin-assistant-nafa-system-services-344e431e25b737b93cb87987505dfd5a?source=MCF&event=SuggestedJob,2026-01-14
MEGAPEAK ENTERPRISE PRIVATE LIMITED,purchasing manager,East,"$5,000to$9,500 Monthly",Full Time,Professional,Building and Construction,4 applications,Posted today,purchasing manager construction,https://www.mycareersfuture.gov.sg/job/building-construction/purchasing-manager-artison-engineering-construction-d7624b5b618bc89f2185af90aded67d1?source=MCF&event=Search,2026-01-14
"BEIJING URBAN CONSTRUCTION GROUP CO., LTD. (Singapore Branch)",Procurement Manager,East,"$7,500to$9,000 Monthly",Full Time,Manager,Building and Construction ...,20 applications,Posted 5 days ago,purchasing manager construction,https://www.mycareersfuture.gov.sg/job/building-construction/procurement-manager-beijing-urban-construction-group-co-f991a35e680e7a6e0d61dc3ff93489ee?source=MCF&event=Search,2026-01-14
LATE APRIL PTE. LTD.,Accountant (Family Office),East,"$3,000to$4,500 Monthly",Part Time ...,Senior Executive,Accounting / Auditing / Taxation,33 applications,Posted 4 days ago,purchasing manager construction,https://www.mycareersfuture.gov.sg/job/accounting/accountant-late-april-a175242e2d1ac509eca9e377e1e4d27b?source=MCF&event=SuggestedJob,2026-01-14
NEWSOLUTION CONSTRUCTION & MATERIAL TRADING PTE. LTD.,PURCHASING MANAGER,Central,"$3,500to$5,000 Monthly",Full Time,Professional,Building and Construction,23 applications,Posted 23 days ago,purchasing manager construction,https://www.mycareersfuture.gov.sg/job/building-construction/purchasing-manager-newsolution-construction-material-trading-a1e7ae1b0ad8a551c60e28a69a6a7ec0?source=MCF&event=Search,2026-01-14
PELYNOOBAKES PTE. LTD.,Part Time Cookie Packer,North,"$1,760to$1,800 Monthly",Temporary,Fresh/entry level,F&B,10 applications,Posted 3 days ago,purchasing manager construction,https://www.mycareersfuture.gov.sg/job/food-and-beverage/part-time-cookie-packer-pelynoobakes-d80ca9de9bc1558965a3def7b41b75b6?source=MCF&event=SuggestedJob,2026-01-14
RECRUIT EXPRESS PTE LTD,"*New* Admin Assistant (Office Hours, 5 Days, No Experience Required – Training Provided) #HJG",Central,"$1,500to$3,500 Monthly",Temporary ...,Fresh/entry level,Admin / Secretarial ...,61 applications,Posted 3 days ago,purchasing manager construction,https://www.mycareersfuture.gov.sg/job/admin/new-admin-assistant-hjg-recruit-express-be9059d435b80b8948c3d4f28c179b41?source=MCF&event=SuggestedJob,2026-01-14
RAPIDO LOGISTICS PTE. LTD.,LOGISTICS MANAGER,Central,"$7,500to$11,000 Monthly",Full Time,Manager,Logistics / Supply Chain,78 applications,Posted 4 days ago,purchasing manager construction,https://www.mycareersfuture.gov.sg/job/logistics/logistics-manager-rapido-logistics-a31c128f720657a45546800411226eef?source=MCF&event=SuggestedJob,2026-01-14
APCO WORLDWIDE ADVISORY SERVICES PTE. LIMITED,Executive Assistant,Central,"$4,000to$7,500 Monthly",Permanent,Executive,Admin / Secretarial,40 applications,Posted 2 days ago,purchasing manager construction,https://www.mycareersfuture.gov.sg/job/admin/executive-assistant-apco-worldwide-advisory-services-fc627909f340d43f1afae4c7e132a4a2?source=MCF&event=SuggestedJob,2026-01-14
SINOLOGISTICS  OVERSEAS PTE. LTD.,Senior Accountant,Central,"$4,000to$6,000 Monthly",Full Time,Manager,Accounting / Auditing / Taxation,30 applications,Posted 3 days ago,purchasing manager construction,https://www.mycareersfuture.gov.sg/job/accounting/senior-accountant-sinologistics-overseas-49d00a546268a9933295d66d2eefd6e0?source=MCF&event=SuggestedJob,2026-01-14
JCPARTNERS PAC,Admin Executive,Central,"$3,000to$3,300 Monthly",Full Time,Executive,Accounting / Auditing / Taxation ...,49 applications,Posted 2 days ago,purchasing manager construction,https://www.mycareersfuture.gov.sg/job/accounting/admin-executive-jcpartners-pac-3b44509476f59e30dd2ed9920629867d?source=MCF&event=SuggestedJob,2026-01-14
BUSINESS EDGE PERSONNEL SERVICES PTE LTD,Admin Receptionist,Central,"$3,000to$4,500 Monthly",Full Time,Junior Executive,Admin / Secretarial,68 applications,Posted 2 days ago,purchasing manager construction,https://www.mycareersfuture.gov.sg/job/admin/admin-receptionist-business-edge-personnel-services-68b5c9961b9ab624b36f2ccca4793c82?source=MCF&event=SuggestedJob,2026-01-14
LUMINARY SERVICE PTE. LTD.,HR Manager,Central,"$7,000to$12,800 Monthly",Full Time,Manager,Admin / Secretarial ...,72 applications,Posted 2 days ago,purchasing manager construction,https://www.mycareersfuture.gov.sg/job/admin/hr-manager-luminary-service-9bbf9bb553a62eebf88766dd89599413?source=MCF&event=SuggestedJob,2026-01-14
NAFA SYSTEM SERVICES PTE LTD,Admin Assistant,East,"$2,500to$3,000 Monthly",Permanent ...,Non-executive,Admin / Secretarial,33 applications,Posted 2 days ago,purchasing manager construction,https://www.mycareersfuture.gov.sg/job/admin/admin-assistant-nafa-system-services-344e431e25b737b93cb87987505dfd5a?source=MCF&event=SuggestedJob,2026-01-14
HEARTLAND FAMILY CLINIC PTE. LTD.,Patient Service Associate  /  Clinic Assistant (Permanent Part-time),North,"$200to$2,600 Monthly",Part Time,Fresh/entry level,Admin / Secretarial ...,23 applications,Posted 2 days ago,purchasing manager construction,https://www.mycareersfuture.gov.sg/job/admin/patient-service-associate-clinic-assistant-heartland-family-clinic-d7e7af2fa4cb7cceeffdb111ec84accc?source=MCF&event=SuggestedJob,2026-01-14
MIDAS ENVIRONMENT BUILDER PTE. LTD.,Admin Cum Account,North,"$2,800to$4,200 Monthly",Part Time ...,Senior Executive,Accounting / Auditing / Taxation,7 applications,Posted 2 days ago,purchasing manager construction,https://www.mycareersfuture.gov.sg/job/accounting/admin-cum-account-midas-environment-builder-4496d8436d598cc1cd4ed41fee15e709?source=MCF&event=SuggestedJob,2026-01-14
