company_name,category,website,phone,email,description,letter,source,source_url
ACUMEN COMPONENTS PTE LTD,AC Adaptors,https://acumen-components.com,(65) 6556 2125,,"Acumen Components Pte. Ltd. is a regional distributor specializing in electronic and electromechanical components. Power Supplies (AC/DC, DC/DC, High Voltage DC/DC): - American Power Design...",A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ADD-PLUS ELECTRONIC PTE LTD,Printed Circuit Board Sub-Assemblies & Contract Manufacturing,https://addplus.com.sg,(65) 6366 3848,admin@addplus.com.sg,Specialise in Electronics Manufacturing Services:• Prototype/Trial Production• NPI Production• Hand Soldering• SMT PCB Assemblies• BGA Remounting/Reballing• X-ray Services• Boxbuild Assembly• In-circuit Test• Function Test• Turnkey...,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
AIR LIQUIDE SINGAPORE PRIVATE LIMITED,Gas - Industrial & Medical - Cylinder & Bulk,https://sg.airliquide.com,(65) 6265 3788,sg-info@airliquide.com,"Electronics materials & services (for semiconductors applications)On-site total gas and chemical management, technical services and training for wafer fab plantsFull range of electronic materials for...",A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ALEX CORPORATION (S) PTE LTD,Inspection Systems,https://alex-corporation.com,(65) 6873 8400,sam@alexcorporation.com,Shimadzu X-ray & 3D CT Inspection Systems - For BGA & Flip-chip analysis - IC chips & connector analysis - Industrial X-ray CT machine -...,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
APP SYSTEMS SERVICES PTE LTD,Pumps - Vacuum,https://appsystems.com.sg,(65) 6425 6611,sales@appsystems.com.sg,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
AWOX PTE LTD,Networking Products,https://awox.com,(65) 6896 6727,,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
A & ONE PRECISION ENGINEERING PTE LTD,Contract Manufacturing,https://a-oneprecision.com,(65) 6543 1181,,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
A-CHIEVEMENT SOLUTION (S) PTE LTD,IT Solutions & Applications,,(65) 6295 5962,info@achievement.com.sg,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
A-PLUS ENGINEERING PTE LTD,Engineering Services,,(65) 6272 1401,,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
AAA TECHNOLOGY (SINGAPORE) PTE LTD,Precision Turned Parts,,(65) 6288 8620,,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
AAC TECHNOLOGIES PTE LTD,Electronic Components,https://aactechnologies.com,(65) 6333 2018,info@aactechnologies.com,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
AAEON TECHNOLOGY SINGAPORE PTE. LTD.,Computer Systems,,(65) 6749 8749,,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ABB PTE LTD,Robotics & Automation Equipment,https://abb.com.sg,(65) 6222 7778,contact.center@sg.abb.com,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ABB PTE LTD (TRANSFORMERS DIVISION),Transformers,https://abb.com,(65) 6861 2954,contact.center@sg.abb.com,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ABLETRON PTE LTD,Electronic Instruments - Rental,,(65) 6383 2678,,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
AC SYNERGY PTE LTD,Printed Circuit Board Assemblies,,(65) 6560 6789,,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ACA PACIFIC TECHNOLOGY (S) PTE LTD,Computer Systems,,(65) 6536 1728,,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ACCENT ASIATECH PTE LTD,Electronic Components,,(65) 6763 0921,,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ACCENTURE PTE LTD,Computer Systems,https://accenture.com,(65) 6410 8000,may.ng@accenture.com,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ACCESS FRONTIER TECHNOLOGIES PTE LTD,Electronic Components,,(65) 6259 1488,,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ACCRINGTON PRECISION MACHINE TOOLS,Machine Tools,,(65) 6245 9623,,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ACE CORPORATION LLP,Wireless Products & Services,,(65) 6769 0868,,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ACE ELECTRONIC SYSTEMS PTE LTD,Electronic Equipment & Supplies,,(65) 6781 8973,,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ACECOM TECHNOLOGIES PTE LTD,Computer Systems,https://acecom.com.sg,(65) 6353 7767,sales@acecom.com.sg,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ACEL PRECISION PLASTICS PTE LTD,Mould Making,,(65) 6764 5108,acelnet@singnet.com.sg,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ACEPLAS PTE LTD,Packaging Materials,,(65) 6570 5060,,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ACL SERVICES (S) PTE LTD,Computer Systems,,(65) 6316 1481,,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ACOT PRECISION ENGINEERING PTE LTD,Engineering Services,,(65) 6473 7333,,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ACP METAL FINISHING PTE LTD,Electroplating,https://acpanode.com.sg,(65) 6863 8318,enquiry@acpanode.com.sg,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ACROMEC ENGINEERS PTE LTD,Clean Rooms - Installation & Equipment,https://acromec.com.sg,(65) 6743 1300,lingogoi@acromec.com,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ACTON TECHNOLOGY PTE LTD,Capacitors,,(65) 6684 2013,,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ADAMPAK LIMITED,Labels,https://adampak.com.sg,(65) 6747 9922,enquiry@adampak.com.sg,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ADC POWER CONCEPT PTE LTD,Uninterruptible Power Supplies,,(65) 6686 2906,sginfo@adc-pc.com,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ADD-PLUS INTERNATIONAL PTE LTD,Printed Circuit Board Assemblies,,(65) 6366 3848,admin@addplus.com.sg,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ADDCOM SOLUTION PTE LTD,Electronic Components,https://addcom.com.sg,(65) 6844 2788,sales@addcom.com.sg,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ADDITIVE CIRCUITS (S) PTE LTD,Printed Circuit Boards (PCBs),,(65) 6861 2155,,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ADDVALUE COMMUNICATIONS PTE LTD,Telecommunication Equipment & Products,,(65) 6509 5700,,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ADDVALUE TECHNOLOGIES LTD,Electronics Design Automation,,(65) 6509 5738,,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ADEKA (ASIA) PTE LTD,Semiconductor Materials,,(65) 6775 9355,sales@adeka.com.sg,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ADIMEC ELECTRONIC IMAGING PTE LTD,Consumer Electronics,,(65) 6334 1236,,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ADITRON PTE LTD,Antennas - Satellite,,(65) 6298 3777,,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ADONAI ELECTRONICS SERVICES,Power Supplies,,(65) 6747 7994,,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ADTEC ENTERPRISE PTE LTD,Electronic Components,,(65) 6448 5482,,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ADVANCE COMBINATION SYSTEM PTE LTD,Communication Equipment & Parts,https://advancecom.com.sg,(65) 6749 0550,terencetoh@advancecom.com.sg,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ADVANCE TECH AUTOMATION PTE LTD,Industrial Automation Equipment,,(65) 6457 3933,lianne@avt-automation.com,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ADVANCE TECH PRECISION PTE LTD,Precision Machining,,(65) 6456 7757,,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ADVANCED CARBIDE TOOLS TECHNOLOGIES,Precision Machinery,,(65) 6747 0142,,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ADVANCED CHROME TECHNOLOGY PTE LTD,Electroplating,,(65) 6265 3700,,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ADVANCED GAUGING SOLUTIONS PTE LTD,Testing & Measuring Instruments,,(65) 6892 9690,,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
ADVANCED MICRO DEVICES (SINGAPORE) PTE LTD,Integrated Circuit Assembly & Test,,(65) 6796 9888,AP.APAC@amd.com,,A,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=A
BINDER CONNECTOR SOUTH EAST ASIA LLP,"Connectors, Sockets & Pins",https://binder-connector.sg,(65) 6513 9466,info@binder-connector.sg,Binder is a family-owned company and one of the market leaders in circular connectors for industrial and automation technology. We have what it takes to...,B,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=B
B & LEE ELECTRONICS PTE LTD,Wires & Cables,,(65) 6292 7369,sales@blee.com.sg,,B,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=B
B.M. NAGANO PTE LTD,International Procurement Offices - IPO,https://bmssin.com.sg,(65) 6692 7555,bmnagano@bmssin.com.sg,,B,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=B
BAN LEK SCRAP IRON TRADING CO,Scrap Metals,,(65) 6756 8112,banlek@singnet.com.sg,,B,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=B
BANNER INDUSTRIES AP PTE LTD,Controllers,https://bannerindustries.com,(65) 6749 9930,bannerAP@annerundustries.com,,B,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=B
BANSHING INDUSTRIAL CO (PTE) LTD,Plastic Injection Moulding,https://banshing.com,(65) 6556 2002,info@banshing.com,,B,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=B
BASLER ASIA PTE LTD,Cameras,https://basler-vc.com,(65) 6367 1355,bc.sales.singapore@baslerweb.com,,B,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=B
