company_id,company_name,domain,website,email,phone,address,country,company_size,primary_services,primary_industry,description,linkedin_url,membership_info,is_hiring,hiring_job_count,hiring_roles,hiring_search_terms,sources,source_records
015c65ab,JERA Global Markets,jeragm.com,jeragm.com,,,Singapore,Singapore,201-500 employees,,Wholesale,"JERA Global Markets (JERAGM) is a leading utility-backed energy trader specialising in LNG, power, coal and freight. A joint venture between majority shareholder JERA Co., Inc. and EDF Trading, JERAGM’s shareholders are among the world’s major utilities. 

JERAGM operates one of the most exciting energy portfolios in the world which gives it an in-depth understanding of the way local, regional and international energy markets behave. These insights enable it to help its customers increase security of supply, optimise their portfolios and improve the risk management of their assets.

Headquartered in Singapore, JERAGM has a global talent pool of about 400 people across offices located in five strategic locations: Singapore, the UK (London), Japan (Tokyo), the US (Houston) and Australia (Brisbane). 

JERAGM is strongly capitalised with over US$500 million in paid up capital and a total equity of US$4 billion. JERAGM has been affirmed an AA- Stable credit rating from R&I (upgraded from A+ Stable in October 2024), attributable to a robust business model and solid financial base.",https://www.linkedin.com/company/jera-global-markets,,,,,,Clay,"[{""Find companies"": NaN, ""Name"": ""JERA Global Markets"", ""Description"": ""JERA Global Markets (JERAGM) is a leading utility-backed energy trader specialising in LNG, power, coal and freight. A joint venture between majority shareholder JERA Co., Inc. and EDF Trading, JERAGM\u2019s shareholders are among the world\u2019s major utilities. \n\nJERAGM operates one of the most exciting energy portfolios in the world which gives it an in-depth understanding of the way local, regional and international energy markets behave. These insights enable it to help its customers increase security of supply, optimise their portfolios and improve the risk management of their assets.\n\nHeadquartered in Singapore, JERAGM has a global talent pool of about 400 people across offices located in five strategic locations: Singapore, the UK (London), Japan (Tokyo), the US (Houston) and Australia (Brisbane). \n\nJERAGM is strongly capitalised with over US$500 million in paid up capital and a total equity of US$4 billion. JERAGM has been affirmed an AA- Stable credit rating from R&I (upgraded from A+ Stable in October 2024), attributable to a robust business model and solid financial base."", ""Primary Industry"": ""Wholesale"", ""Size"": ""201-500 employees"", ""Type"": ""Privately Held"", ""Location"": ""Singapore"", ""Country"": ""Singapore"", ""Domain"": ""jeragm.com"", ""LinkedIn URL"": ""https://www.linkedin.com/company/jera-global-markets""}]"
c83f411f,Henatenn Holdings,careers-page.com,careers-page.com,,,"Singapore, Singapore",Singapore,51-200 employees,,Wholesale,"Powered by the vision of connecting businesses worldwide to transact with ease, Henatenn is an Integrated Omni-channel Commerce and Supply Chain Solutions Enabler that Harnesses Evolving Technological Innovations. 
 
The group comprises three distinct affiliates that offer a comprehensive range of solutions for the beauty and fragrances industry to include:
 
NEFERTI – Channel Distribution Partner
NOVELA – Premium Retailer
DTB – Market Expansion Solutioning 

Customer-centricity and Warmth are deeply ingrained in the Henatenn DNA.  Relationships with partners and customers are highly valued, with many lasting over a decade – one of the key reasons why the company has enjoyed sustainable growth through the years.
 
Internally, it translates to being an equal opportunity and nurturing organisation. Henatenn invests in its employees, giving them room to be creative, grow and excel, which has resulted in a high-performance team that stands united and collaborative. Everyone is empowered to overcome challenges and celebrating success together has become a part of its culture.
 
Henatenn has in less than ten years, grown from 2 people to over 150 employees. In 2019, the company acquired its building to increase efficiencies in both B2B and B2C E-commerce.
 
With an established unique supply chain and distribution system that solidified over the years through continual innovation and customer interaction, the group has seen revenues exceed SGD 100 million annually. 

In the last decade, the group has successfully planted its footprint outside its Singapore headquarters, Henatenn is on-track to achieving its dream of global omni-presence.",https://www.linkedin.com/company/henatenn-holdings-pte-ltd,,,,,,Clay,"[{""Find companies"": NaN, ""Name"": ""Henatenn Holdings"", ""Description"": ""Powered by the vision of connecting businesses worldwide to transact with ease, Henatenn is an Integrated Omni-channel Commerce and Supply Chain Solutions Enabler that Harnesses Evolving Technological Innovations. \n \nThe group comprises three distinct affiliates that offer a comprehensive range of solutions for the beauty and fragrances industry to include:\n \nNEFERTI \u2013 Channel Distribution Partner\nNOVELA \u2013 Premium Retailer\nDTB \u2013 Market Expansion Solutioning \n\nCustomer-centricity and Warmth are deeply ingrained in the Henatenn DNA.  Relationships with partners and customers are highly valued, with many lasting over a decade \u2013 one of the key reasons why the company has enjoyed sustainable growth through the years.\n \nInternally, it translates to being an equal opportunity and nurturing organisation. Henatenn invests in its employees, giving them room to be creative, grow and excel, which has resulted in a high-performance team that stands united and collaborative. Everyone is empowered to overcome challenges and celebrating success together has become a part of its culture.\n \nHenatenn has in less than ten years, grown from 2 people to over 150 employees. In 2019, the company acquired its building to increase efficiencies in both B2B and B2C E-commerce.\n \nWith an established unique supply chain and distribution system that solidified over the years through continual innovation and customer interaction, the group has seen revenues exceed SGD 100 million annually. \n\nIn the last decade, the group has successfully planted its footprint outside its Singapore headquarters, Henatenn is on-track to achieving its dream of global omni-presence."", ""Primary Industry"": ""Wholesale"", ""Size"": ""51-200 employees"", ""Type"": ""Privately Held"", ""Location"": ""Singapore, Singapore"", ""Country"": ""Singapore"", ""Domain"": ""careers-page.com"", ""LinkedIn URL"": ""https://www.linkedin.com/company/henatenn-holdings-pte-ltd""}]"
bb628b91,EXIM & MFR ENTERPRISE,eximfr.com.sg,eximfr.com.sg,,,"Ang Mo Kio, Central",Singapore,51-200 employees,,Wholesale,"Exim & Mfr Enterprise established in 1982 in Singapore, has been a leading provider of high-quality electro-mechanical components, fasteners, sleevings/tubings, wires, and wiring management solutions to industries and manufacturers worldwide.

Our customers include multinational industry household names who rely on us for our commitment to quality, adherence to stringent supplier qualification standards and achieving sustainability initiatives.

     •  Headquartered in Singapore, supported by sales and branch offices in
        India, Indonesia, Malaysia, Philippines, Thailand, and Vietnam.
     •  An extensive product portfolio comprising over 40,000-line items across
        155 commodity groups sourced from reputable manufacturers 
        worldwide.
     •  Our Singapore facility is equipped with state-of-the-art quality control
        equipment, ensuring that every product meets our customer’s exacting
        requirements.
     •  Value-added services like nylon patching, tube cutting and markings, and
        customized kitting and sub-assemblies are available to meet specific
        customer requirements.
     •  We offer integrated supply chain solutions including Vendor Managed
        Inventory (VMI), to streamline operations, enhance efficiency, and cost
        productivity.
     •  DNV and TÜV Registered certifications: AS 9120, IATF 16949, ISO 9001,
        ISO 13485, ISO 14001, ISO 22301, ISO 26000, ISO 27001, ISO 28000, 
        ISO 29001, ISO 37001, ISO 45001, and ISO 50001.

For inquiries or further information, please reach out to us at sales@eximfr.com.sg.",https://www.linkedin.com/company/exim-mfr-enterprise,,,,,,Clay,"[{""Find companies"": NaN, ""Name"": ""EXIM & MFR ENTERPRISE"", ""Description"": ""Exim & Mfr Enterprise established in 1982 in Singapore, has been a leading provider of high-quality electro-mechanical components, fasteners, sleevings/tubings, wires, and wiring management solutions to industries and manufacturers worldwide.\n\nOur customers include multinational industry household names who rely on us for our commitment to quality, adherence to stringent supplier qualification standards and achieving sustainability initiatives.\n\n     \u2022  Headquartered in Singapore, supported by sales and branch offices in\n        India, Indonesia, Malaysia, Philippines, Thailand, and Vietnam.\n     \u2022  An extensive product portfolio comprising over 40,000-line items across\n        155 commodity groups sourced from reputable manufacturers \n        worldwide.\n     \u2022  Our Singapore facility is equipped with state-of-the-art quality control\n        equipment, ensuring that every product meets our customer\u2019s exacting\n        requirements.\n     \u2022  Value-added services like nylon patching, tube cutting and markings, and\n        customized kitting and sub-assemblies are available to meet specific\n        customer requirements.\n     \u2022  We offer integrated supply chain solutions including Vendor Managed\n        Inventory (VMI), to streamline operations, enhance efficiency, and cost\n        productivity.\n     \u2022  DNV and T\u00dcV Registered certifications: AS 9120, IATF 16949, ISO 9001,\n        ISO 13485, ISO 14001, ISO 22301, ISO 26000, ISO 27001, ISO 28000, \n        ISO 29001, ISO 37001, ISO 45001, and ISO 50001.\n\nFor inquiries or further information, please reach out to us at sales@eximfr.com.sg."", ""Primary Industry"": ""Wholesale"", ""Size"": ""51-200 employees"", ""Type"": ""Privately Held"", ""Location"": ""Ang Mo Kio, Central"", ""Country"": ""Singapore"", ""Domain"": ""eximfr.com.sg"", ""LinkedIn URL"": ""https://www.linkedin.com/company/exim-mfr-enterprise""}, {""Find companies"": NaN, ""Name"": ""Satair Pte Ltd"", ""Description"": ""Since our humble beginnings in 1982, EXIM & MFR ENTERPRISE has managed to sustain an enviable growth every year, achieving a sales turnover in excess of S$23 million by 1999, with a headcount of more than 100 employees.\r\n\r\nThe very fact that our business has enjoyed such significant growth, given the relatively short history of our existence, demonstrates the success of our relentless pursuit of excellence in every aspect of our operations. \r\n  \r\nOur goal is to become a global leader in the distribution of quality assured fasteners, electronic hardware, sleevings/tubings and other electro-mechanical parts. In order to achieve this, we continue to ensure that we provide high quality products, on-time delivery, competitive pricing and prompt active approach, to exceed the expectations of our customers.  \r\n  \r\nOur organisation structure ensures greater efficiency in customer service, a higher level of quality control, a near perfect system of records and administrative documents and on-time delivery. All our departments with a common customer-oriented goal stand for total dedication to customer satisfaction, a commitment which every one of us undertakes in our specific duties everyday."", ""Primary Industry"": ""Wholesale Import and Export"", ""Size"": ""51-200 employees"", ""Type"": ""Self Owned"", ""Location"": NaN, ""Country"": ""Singapore"", ""Domain"": ""eximfr.com.sg"", ""LinkedIn URL"": ""https://www.linkedin.com/company/exim-manufacturing-singapore""}]"
3bbf7ba8,mesh,,,,,"Singapore, Singapore",Singapore,51-200 employees,,Wholesale,"We design and deliver modern considered products to help the world live, connect and move with greater ease. Founded in 2010, we are home to a diverse and complementary group of global brands including UNIQ, Skinarma, Energea, Coehl, Optix, Bazic, and Mobile+Labs. 

Driven by our vision of modern living with over a decade of design expertise, our product selection includes tech accessories, screen protection, power solutions, fashion accessories, apparel and bags that cater to the unique and evolving needs of the modern individual. 

United by a collective passion for details and celebration of individual expression, each brand keeps true to its identity to meet individuals at every point of their day with everyday essentials they love to carry, use and wear. 

Learn more about our brands:
uniqbetterbydesign.com
skinarma.com
goenergea.com
coehl.co
mobilepluslabs.com",https://www.linkedin.com/company/meshcollective,,,,,,Clay,"[{""Find companies"": NaN, ""Name"": ""mesh"", ""Description"": ""We design and deliver modern considered products to help the world live, connect and move with greater ease. Founded in 2010, we are home to a diverse and complementary group of global brands including UNIQ, Skinarma, Energea, Coehl, Optix, Bazic, and Mobile+Labs. \n\nDriven by our vision of modern living with over a decade of design expertise, our product selection includes tech accessories, screen protection, power solutions, fashion accessories, apparel and bags that cater to the unique and evolving needs of the modern individual. \n\nUnited by a collective passion for details and celebration of individual expression, each brand keeps true to its identity to meet individuals at every point of their day with everyday essentials they love to carry, use and wear. \n\nLearn more about our brands:\nuniqbetterbydesign.com\nskinarma.com\ngoenergea.com\ncoehl.co\nmobilepluslabs.com"", ""Primary Industry"": ""Wholesale"", ""Size"": ""51-200 employees"", ""Type"": ""Privately Held"", ""Location"": ""Singapore, Singapore"", ""Country"": ""Singapore"", ""Domain"": NaN, ""LinkedIn URL"": ""https://www.linkedin.com/company/meshcollective""}]"
9af8ac76,Tionale Pte Ltd,tionale.com.sg,tionale.com.sg,,,"Singapore, Singapore",Singapore,51-200 employees,,Wholesale,"We are a leading global Wholesale Distribution business established in 1982 and headquartered in Singapore. Tionale, derived from the word “Interna-Tionale” started with one clear vision – build a truly international company. With physical presence in our major markets and automated warehouses in strategic locations, we manage a diversified product portfolio to serve our customers in over 80 countries. Our customers include wholesalers, retail chains, internet retailers, manufacturers and distributors depending on the product category.

 
We provide value to our customers by giving them access to our diversified product portfolio sourced from the most reliable and competitive suppliers globally. Our specialized teams work with our customers and provide technical / commercial inputs, industry trends etc. to aid their decision making. We speak their language – amongst others French in Francophone Africa, Spanish in South America or Mandarin in China which gives us the ability to go deeper in the markets. Our global customer base is spread over developed markets in America, Asia, Europe & Middle East to remote markets in Africa. Our dedicated team takes pride in being close to the customer, unlocking growth opportunities for the business.


We believe in long term partnerships and commitments with our suppliers. Over the years, we have been their partners in their journey to gain insights into the various markets and distribute their products in niche markets. Many of these suppliers have grown with us over the last decade and more, as we provide them the volumes and access to multiple markets while taking over the risks. We carry a wide range of stocks in some of our product categories and deliver in assortments to our customers.",https://www.linkedin.com/company/tionale-pte-ltd,,,,,,Clay,"[{""Find companies"": NaN, ""Name"": ""Tionale Pte Ltd"", ""Description"": ""We are a leading global Wholesale Distribution business established in 1982 and headquartered in Singapore. Tionale, derived from the word \u201cInterna-Tionale\u201d started with one clear vision \u2013 build a truly international company. With physical presence in our major markets and automated warehouses in strategic locations, we manage a diversified product portfolio to serve our customers in over 80 countries. Our customers include wholesalers, retail chains, internet retailers, manufacturers and distributors depending on the product category.\n\n \nWe provide value to our customers by giving them access to our diversified product portfolio sourced from the most reliable and competitive suppliers globally. Our specialized teams work with our customers and provide technical / commercial inputs, industry trends etc. to aid their decision making. We speak their language \u2013 amongst others French in Francophone Africa, Spanish in South America or Mandarin in China which gives us the ability to go deeper in the markets. Our global customer base is spread over developed markets in America, Asia, Europe & Middle East to remote markets in Africa. Our dedicated team takes pride in being close to the customer, unlocking growth opportunities for the business.\n\n\nWe believe in long term partnerships and commitments with our suppliers. Over the years, we have been their partners in their journey to gain insights into the various markets and distribute their products in niche markets. Many of these suppliers have grown with us over the last decade and more, as we provide them the volumes and access to multiple markets while taking over the risks. We carry a wide range of stocks in some of our product categories and deliver in assortments to our customers."", ""Primary Industry"": ""Wholesale"", ""Size"": ""51-200 employees"", ""Type"": ""Privately Held"", ""Location"": ""Singapore, Singapore"", ""Country"": ""Singapore"", ""Domain"": ""tionale.com.sg"", ""LinkedIn URL"": ""https://www.linkedin.com/company/tionale-pte-ltd""}]"
7808fc6b,HoST Pte Ltd ( A Sonepar Company ),host.sg,host.sg,,,singapore,Singapore,11-50 employees,,Wholesale,"About HoST
HoST is a trailblazer in industrial automation and smart manufacturing solutions, serving both local and regional markets across Southeast Asia. Renowned as the exclusive authorised distributor of Allen-Bradley in Singapore, HoST has become synonymous with reliability, innovation, and excellence in automation technologies.
Driven by a vision to deliver customer-centric value in an ever-evolving industrial landscape, HoST is recognised for forging strong, enduring partnerships while consistently expanding its ecosystem to offer best-in-class, future-ready solutions

As a trusted leader in the industry, HoST continues to set new standards, empowering businesses to stay ahead in a competitive and connected world. Learn more at www.host.sg

HoST is part of the Sonepar Group

Sonepar is an independent family-owned company standing as the world leader in B-to-B distribution of electrical equipment, solutions, and services. In 2024, Sonepar achieved sales of €32.5 billion. Present in 40 countries with a dense network of brands, the Group is leading an ambitious transformation to make its customers’ lives easier providing them with an omnichannel experience and sustainable solutions in the building, industry, and energy markets. Sonepar’s 46 000 associates are committed to accelerating the world’s electrification and driven by a shared Purpose: Powering Progress for Future Generations. www.sonepar.com",https://www.linkedin.com/company/host-pte-ltd,,,,,,Clay,"[{""Find companies"": NaN, ""Name"": ""HoST Pte Ltd ( A Sonepar Company )"", ""Description"": ""About HoST\nHoST is a trailblazer in industrial automation and smart manufacturing solutions, serving both local and regional markets across Southeast Asia. Renowned as the exclusive authorised distributor of Allen-Bradley in Singapore, HoST has become synonymous with reliability, innovation, and excellence in automation technologies.\nDriven by a vision to deliver customer-centric value in an ever-evolving industrial landscape, HoST is recognised for forging strong, enduring partnerships while consistently expanding its ecosystem to offer best-in-class, future-ready solutions\n\nAs a trusted leader in the industry, HoST continues to set new standards, empowering businesses to stay ahead in a competitive and connected world. Learn more at www.host.sg\n\nHoST is part of the Sonepar Group\n\nSonepar is an independent family-owned company standing as the world leader in B-to-B distribution of electrical equipment, solutions, and services. In 2024, Sonepar achieved sales of \u20ac32.5 billion. Present in 40 countries with a dense network of brands, the Group is leading an ambitious transformation to make its customers\u2019 lives easier providing them with an omnichannel experience and sustainable solutions in the building, industry, and energy markets. Sonepar\u2019s 46 000 associates are committed to accelerating the world\u2019s electrification and driven by a shared Purpose: Powering Progress for Future Generations. www.sonepar.com"", ""Primary Industry"": ""Wholesale"", ""Size"": ""11-50 employees"", ""Type"": ""Privately Held"", ""Location"": ""singapore"", ""Country"": ""Singapore"", ""Domain"": ""host.sg"", ""LinkedIn URL"": ""https://www.linkedin.com/company/host-pte-ltd""}]"
08a938cf,GSI Electronics Pte Ltd,gsielect.com,gsielect.com,violet@gsielect.com,(65) 6515 7082,Singapore,Singapore,11-50 employees,Capacitors - Film,Wholesale,"GSI Electronics has been in business since 2007. Our leadership team has over 20 years of experience in the industry, field of film capacitors and electronic components. With such adequate experience and knowledge, we strive to offer our best support and commitment to our customers, regardless of where they are from.

Since inception, GSI Electronics has grown from a single-office to a group of companies, spreading its footprints over Malaysia, Thailand, Indonesia and more presence in the pipeline.",https://www.linkedin.com/company/gsi-electronics,,,,,,"Clay, SG-Electronics","[{""Find companies"": NaN, ""Name"": ""GSI Electronics Pte Ltd"", ""Description"": ""GSI Electronics has been in business since 2007. Our leadership team has over 20 years of experience in the industry, field of film capacitors and electronic components. With such adequate experience and knowledge, we strive to offer our best support and commitment to our customers, regardless of where they are from.\n\nSince inception, GSI Electronics has grown from a single-office to a group of companies, spreading its footprints over Malaysia, Thailand, Indonesia and more presence in the pipeline."", ""Primary Industry"": ""Wholesale"", ""Size"": ""11-50 employees"", ""Type"": ""Privately Held"", ""Location"": ""Singapore"", ""Country"": ""Singapore"", ""Domain"": ""gsielect.com"", ""LinkedIn URL"": ""https://www.linkedin.com/company/gsi-electronics""}, {""company_name"": ""GSI ELECTRONICS PTE LTD"", ""category"": ""Capacitors - Film"", ""website"": ""https://gsielect.com"", ""phone"": ""(65) 6515 7082"", ""email"": ""violet@gsielect.com"", ""description"": NaN, ""letter"": ""G"", ""source"": ""SG-Electronics"", ""source_url"": ""https://www.sg-electronics.com/company-listing/?co=G""}]"
41143780,Yonex - Sunrise Group,sunriseclick.com,sunriseclick.com,,,"Singapore, Singapore",Singapore,201-500 employees,,Wholesale,Official Yonex Sunrise Company LinkedIn Page. Follow & be updated on the World of Badminton.,https://www.linkedin.com/company/yonex---sunrise-group,,,,,,Clay,"[{""Find companies"": NaN, ""Name"": ""Yonex - Sunrise Group"", ""Description"": ""Official Yonex Sunrise Company LinkedIn Page. Follow & be updated on the World of Badminton."", ""Primary Industry"": ""Wholesale"", ""Size"": ""201-500 employees"", ""Type"": ""Privately Held"", ""Location"": ""Singapore, Singapore"", ""Country"": ""Singapore"", ""Domain"": ""sunriseclick.com"", ""LinkedIn URL"": ""https://www.linkedin.com/company/yonex---sunrise-group""}, {""Find companies"": NaN, ""Name"": ""SUNRISE & CO (PTE) LTD"", ""Description"": ""Sunrise & Co. The sole distributor of Yonex and Mikasa products for 14 countries in Asia for over 30 years. Our countries include Singapore, Indonesia, Malaysia, Hong Kong SAR, Macau, India, Vietnam, Philippines, Brunei, Mauritius, Sri Lanka, Pakistan, Maldives, Bangladesh and Nepal. We have the widest range of Yonex and Mikasa products available"", ""Primary Industry"": ""Wholesale"", ""Size"": ""51-200 employees"", ""Type"": ""Privately Held"", ""Location"": ""Singapore, SINGAPORE"", ""Country"": ""Singapore"", ""Domain"": ""sunriseclick.com"", ""LinkedIn URL"": ""https://www.linkedin.com/company/sunriseandco""}]"
8beadc22,Saveraa International Private Limited,saveraaintl.com,saveraaintl.com,,,SINGAPORE,Singapore,2-10 employees,,Wholesale,"Saveraa International is a brokerage firm dealing in edible oil, palm oil as well as a list of vegetable oil products and derivatives. Our team of highly professional brokers tap the top markets of India, Malaysia, Indonesia, Singapore, Dubai, Pakistan, Myanmar and Bangladesh to cater to the supply and demand needs across the retail and corporate segments. We offer customized solutions to our clientele based on our rich experience and market insights from the industry to capitalize the trading opportunities in complex world of commodities.",https://www.linkedin.com/company/saveraa-international-private-limited,,,,,,Clay,"[{""Find companies"": NaN, ""Name"": ""Saveraa International Private Limited"", ""Description"": ""Saveraa International is a brokerage firm dealing in edible oil, palm oil as well as a list of vegetable oil products and derivatives. Our team of highly professional brokers tap the top markets of India, Malaysia, Indonesia, Singapore, Dubai, Pakistan, Myanmar and Bangladesh to cater to the supply and demand needs across the retail and corporate segments. We offer customized solutions to our clientele based on our rich experience and market insights from the industry to capitalize the trading opportunities in complex world of commodities."", ""Primary Industry"": ""Wholesale"", ""Size"": ""2-10 employees"", ""Type"": ""Self Employed"", ""Location"": ""SINGAPORE"", ""Country"": ""Singapore"", ""Domain"": ""saveraaintl.com"", ""LinkedIn URL"": ""https://www.linkedin.com/company/saveraa-international-private-limited""}]"
2958373c,Global Outsource Solutions Pte Ltd,globaloutsourceasia.com,globaloutsourceasia.com,,,Singapore,Singapore,11-50 employees,,Wholesale,"Global Outsource Solutions Pte Ltd (GOS) is under Kim Hin International Group. We are a leading regional South East Asia baby & maternity goods distributor. Our primary distribution markets are in Singapore, Malaysia, Hong Kong and Vietnam. GOS distributes over 15 international baby brands such as Ju-Ju-Be, Cybex, Good Baby, Tommee Tippee, 59s, Babyhood, Clevamama and more.

In each market, we have distribution channels into baby speciality chain stores, online baby stores, grocery/supermarkets, convenience/personal store, pharmacies, departmental stores, online marketplaces, maternity hospitals, consumer shows and more.

We're a small enterprise that believes in bringing the world’s best baby and maternity products to discerning parents in South East Asia. We thrive in an agile and entrepreneurial environment where you could be wearing many hats each day.",https://www.linkedin.com/company/global-outsource-solutions-pte-ltd,,,,,,Clay,"[{""Find companies"": NaN, ""Name"": ""Global Outsource Solutions Pte Ltd"", ""Description"": ""Global Outsource Solutions Pte Ltd (GOS) is under Kim Hin International Group. We are a leading regional South East Asia baby & maternity goods distributor. Our primary distribution markets are in Singapore, Malaysia, Hong Kong and Vietnam. GOS distributes over 15 international baby brands such as Ju-Ju-Be, Cybex, Good Baby, Tommee Tippee, 59s, Babyhood, Clevamama and more.\n\nIn each market, we have distribution channels into baby speciality chain stores, online baby stores, grocery/supermarkets, convenience/personal store, pharmacies, departmental stores, online marketplaces, maternity hospitals, consumer shows and more.\n\nWe're a small enterprise that believes in bringing the world\u2019s best baby and maternity products to discerning parents in South East Asia. We thrive in an agile and entrepreneurial environment where you could be wearing many hats each day."", ""Primary Industry"": ""Wholesale"", ""Size"": ""11-50 employees"", ""Type"": ""Privately Held"", ""Location"": ""Singapore"", ""Country"": ""Singapore"", ""Domain"": ""globaloutsourceasia.com"", ""LinkedIn URL"": ""https://www.linkedin.com/company/global-outsource-solutions-pte-ltd""}]"
