company_name,category,description,website,phone,email,detail_url
LIFA PTE LTD,Food Processing  Equipment & Supplies,"- Specialised in food processing/manufacturing, catering/kitchen machinery & equipment - Sales of brand new/re-conditioned machinery & equipment - Sales/purchase of 2nd hand machines - Strong...",https://lifa.sg,(65) 6250 4388,sales@lifa.sg,https://www.agri-biz.com/company-details/lifa-pte-ltd/
LIM THIAM CHWEE FOOD SUPPLIER PTE LTD,Fruits & Vegetables - Importers & Exporters,"- Specialise in imports, distribution of all fresh vegetables, fruits and wet provisions (e.g. tofu, noodles, etc) - Over 40 years of experience with reliability...",https://ltcfood.com.sg,(65) 6778 1884,Ltcfood@singnet.com.sg,https://www.agri-biz.com/company-details/lim-thiam-chwee-food-supplier-pte-ltd/
MUA HIN POULTRY FARM PTE LTD,Frozen Foods - Distributors & Wholesalers,"Mua Hin Poultry Farm Pte Ltd, established in 1977, is a leading supplier of chilled ducks and frozen foods in Singapore. With an integrated supply...",https://hengguan.com.sg,(65) 6756 8070,,https://www.agri-biz.com/company-details/mua-hin-poultry-farm-pte-ltd/
SIONG HONG SEAFOOD ENTERPRISE PTE LTD,Fish & Seafood Processing Establishments,One-Stop Shop For All Your Seafood Needs & Customise Cutting Services. Siong Hong Seafood specialises in live cockles and is the largest licensed supplier of...,https://newfresh.sg,(65) 9068 5788,sales.newfresh@hotmail.com,https://www.agri-biz.com/company-details/siong-hong-seafood-enterprise-pte-ltd/
ESSENTIALS (SG) PTE LTD,Food Processing  Equipment & Supplies,"One-stop supplies for your food processing\'s consumables & accessories. Customised service, ordering procedure, price plan, payment methods for individual customers ranging from food processing factories,...",https://essentialsgroup.sg,(65) 6931 8800,info@essentialsgroup.sg,https://www.agri-biz.com/company-details/essentials-sg-pte-ltd/
FOODNET INTERNATIONAL HOLDINGS PTE LTD,Consultants,Core competencies include developing food safety solutions as well as the designing and implementation of food related projects. We possess in-house capabilities to develop professional...,https://foodnetinternational.com,(65) 6841 6068,inquiry@foodnetinternational.com,https://www.agri-biz.com/company-details/foodnet-international-holdings-pte-ltd/
GREEN VALLEY 61 TRADING LLP,Food Automation Systems,"We provide commercial/industrial central kitchen machinery from Taiwan, Korea and Japan, capable of replacing labour with highly efficient rates and solving food processing problems food...",https://greenvalley61.com.sg,(65) 6802 3661,greenvalley61.sg@gmail.com,https://www.agri-biz.com/company-details/green-valley-61-trading-llp/
JTECH AUTOMATION PTE LTD,Conveyors,"JTech Automation Pte Ltd creates customised machines that improve people's work life in many industries with cutting-edge technologies in Robotics, Vision, Laser, Pneumatics and Servo...",https://jtechautomation.com.sg,(65) 6339 3616,sales@jtechautomation.com.sg,https://www.agri-biz.com/company-details/jtech-automation-pte-ltd/
KIM TECK HONG PTE LTD,Fruits & Vegetables - Importers & Exporters,"Importers & exporters, wholesalers & traders of: • Vegetables • Red onion • White onion • Garlic • Ginger • Potatoes • Sweet potatoes •...",,(65) 6779 7377,,https://www.agri-biz.com/company-details/kim-teck-hong-pte-ltd/
MS VENTURE PTE LTD,Packaging Materials,Retail Outlet & Showroom 538 Geylang Road #01-01/02/03 The Arizon Singapore 389493 Nature of Business Established manufacturer in F&B packaging • Food-grade take-away containers with...,https://msventure.com.sg,(65) 8261 9938,hello@msventure.com.sg,https://www.agri-biz.com/company-details/ms-venture-pte-ltd/
N & N AGRICULTURE PTE LTD,Eggs,N & N has been established in Singapore since 2001. Our vision is to be a socially responsible producer of fresh eggs and pasteurized egg...,https://eggstory.com.sg,(65) 6792 9746,enquiries@eggstory.com.sg,https://www.agri-biz.com/company-details/n-n-agriculture-pte-ltd/
SENG CHOON FARM PTE LTD,Eggs,"Seng Choon is a local farm producing fresh egg in Singapore. With special attention in bio-security, care of the hens and good farming practices, we...",https://sengchoonfarm.com,(65) 6762 2858,contact@sengchoonfarm.com,https://www.agri-biz.com/company-details/seng-choon-farm-pte-ltd/
ALPHA CELSIUS PTE LTD,Refrigerating Equipment - Commercial & Industrial,"Alpha Celsius Pte Ltd was established in 1993 and specialises in the design, supply, installation and repair of industrial refrigeration. We are a company with...",https://alphacelsius.com.sg,(65) 6753 6177,info@alphacelsius.com.sg,https://www.agri-biz.com/company-details/alpha-celsius-pte-ltd/
ALS TECHNICHEM (S) PTE LTD,Food Testing,We provide comprehensive food testing services & consultancy. - SFA approved LRP laboratory for food export testing - Nutrition labeling - Oil & fat testing...,https://alsglobal.com,(65) 6589 0118,singapore@alsglobal.com,https://www.agri-biz.com/company-details/als-technichem-s-pte-ltd/
BAN CHOON MARKETING PTE LTD,Fruits & Vegetables,"Freshness is our business, Ban Choon has been supplying fresh fruits and vegetables to major supermarket chains, hotels, restaurants and Singapore Airport Terminal Services for...",https://banchoon.com.sg,(65) 6777 7333,enquiries@banchoon.com.sg,https://www.agri-biz.com/company-details/ban-choon-marketing-pte-ltd/
CHEE SENG OIL FACTORY (PTE) LTD,Edible Oils,"Since 1956, Chee Seng Oil Factory Pte Ltd has been dedicated to providing consumers with premium, unrefined Roasted Sesame Oil that preserves the natural goodness...",https://cheeseng-oil.com,(65) 6284 1062,csoil@cheeseng.com.sg,https://www.agri-biz.com/company-details/chee-seng-oil-factory-pte-ltd/
CHUN CHENG FISHERY ENTERPRISE PTE LTD,Fish & Seafood Processing Establishments,"Chun Cheng Fishery is one of Singapore's leading processors, exporters and distributors of frozen fishes. It is our belief and practise to ensure that all...",https://chuncheng.com,(65) 6266 6566,sales@chuncheng.com,https://www.agri-biz.com/company-details/chun-cheng-fishery-enterprise-pte-ltd/
DESSERT ORIGIN PTE LTD,Desserts,"Dessert Origin Pte Ltd Incorporated in 2019, Dessert Origin specializes in distribution of raw ingredients and manufacturing of products used in cooking, baking and making...",,(65) 6756 1368,hello@dessertorigin.sg,https://www.agri-biz.com/company-details/dessert-origin-pte-ltd/
GARDEN PICKS FOOD MANUFACTURING LLP,Agricultural Commodities - Dried Fruits & Nuts,"Garden Picks is a leading importer, manufacturer and wholesaler in Singapore for wholesome snack products with its core on nuts, dried fruits, superfoods, cereal and...",https://gardenpicks.com.sg,(65) 6659 4859,enquiries@gardenpicks.com.sg,https://www.agri-biz.com/company-details/garden-picks-food-manufacturing-llp/
