company_name,address,postal_code,tel,fax,email,website,description,source_url
1800nopests Pte Ltd,9010 Tampines Street 93 #02-93 Tampines Industrial Park ASingapore 528844,528844,+65 6244 6926,+65 6442 6926,enquiry@1800nopests.com.sg,https://www.1800nopests.com.sg/,"With the shift to ""environmental & human safe"" pests, cleaning & sanitization management services, 1800NOPESTS Pte Ltd was founded in 2012 with a focus on sustainability and public health. As a NEA licensed and BCA registered, full-service vector control & cleaning company, we provide trustworthy & reliable pests, cleaning & sanitization management services to both businesses & homeowners. Certified Animal Management Specialists by NPark and listed among NEA's List of companies that can carry ou",https://www.sfma.org.sg/member/info.php?cid=1800nopests-pte-ltd
2NutGuys Pte Ltd,9 Chin Bee Drive #05-03Singapore 619860,619860,-,-,hello@2nutguys.com,https://www.2nutguys.com/,"2NUTGUYS specialises in maternal and toddler nutrition. 2NUTGUYS produces nut products such as nut butters, nut snacks, nut milks and other nut related products.",https://www.sfma.org.sg/member/info.php?cid=2nutguys-pte-ltd
5G Max Pte Ltd,9 Changi South Street #07-05Singapore 486361,486361,+65 6589 8333,-,sales@5gmax.com.sg,https://www.5gmax.com.sg/,"E-commerce logistics, wine trading",https://www.sfma.org.sg/member/info.php?cid=5g-max-pte-ltd
A.F. Hoosen & Sons Pte Ltd,141 Middle Road #06-07A GSM BuildingSingapore 188976,188976,+65 8444 2512,+65 6012 1786,yakuta2006@gmail.com,https://www.afhoosen.com/,"Import & Export of spices and a wide range of commodities ranging from Desiccated Coconuts, Cocoa Powder, Almonds, Pistachios, Walnuts to Tomato Paste, Tamarind Paste and Chinese Sweets.",https://www.sfma.org.sg/member/info.php?cid=af-hoosen-n-sons-pte-ltd
Ace Synergy International Pte Ltd,31 Woodlands Close #02-04 Woodlands HorizonSingapore 737855,737855,+65 6756 0286,+65 6756 0802,patrickwong@acesyn.com,http://www.acesynergy.com.sg/,"ACE SYNERGY INTERNATIONAL was incorporated in 2006 and is a leading food trade and investment firm specializing in food product procurement, consolidation and export. Over the years, we have established strong network with business partners around the world with our experiences in export-led ventures and strong International food business knowledge. We work with the best factories, using our own R&D and Product Development team and create food products primarily in the category of snacks and con",https://www.sfma.org.sg/member/info.php?cid=ace-synergy-international-pte-ltd
Acorn Investments Holding Pte Ltd,71 Circuit Road #01-37Singapore 370071,370071,+65 6935 6486,-,info@hongspices.com,https://www.hongspices.com/,"Acorn Investments Holding Pte Ltd is a holding company that owns pepper plantation in Kampot, Cambodia. Under the brand name ""HONG SPICES"" we package and sell the best testing dried Kampot peppercorns and other related products in Singapore, Japan, Taiwan and China.",https://www.sfma.org.sg/member/info.php?cid=acorn-investments-holding-pte-ltd
Adamz Xtreme Pte Ltd,51 Goldhill Plaza #07-10/11Singapore 308900,308900,+65 9845 1205,-,mite4843@gmail.com,-,"Wholesale of Livestock, Meat, Poultry, Eggs and Seafood (Including Fresh and Frozen)",https://www.sfma.org.sg/member/info.php?cid=adamz-xtreme-pte-ltd
Advance Carton Pte Ltd,10 Admiralty Street #01-52 North Link BuildingSingapore 757695,757695,+65 6897 8720,+65 6897 8710,advctn@singnet.com.sg,http://www.advctn.sg/,"Boxes for Moving Huge Numbers of Singaporeans move house or office each and every year. Advance Carton was created to take some of the stress and a lot of the cost out of moving. Our cost savings are based on a fairly simple philosophy. Proper packing is critically important. You want boxes especially made to do the job right. Careful attention now will pay off later, when your treasured belongings come out of the moving truck in just as good condition as when they went in. Our moving boxes were",https://www.sfma.org.sg/member/info.php?cid=advance-carton-pte-ltd
Agis Medical Supplies Pte Ltd,50 Kallang Pudding #08-08 AMA BuildingSingapore 349326,349326,+65 6259 9788 / +65 9623 1910,-,sales@kersia.sg,https://www.disinfectant.com.sg/,"AGIS Medical Supplies specialises in cleaning and sanitising chemicals for F&B establishments. As the distributor and service partner for Kersia Group in Singapore, AGIS offers the full range of solutions from farm to fork, from solutions to control microbiological load in animal drinking water and improve feed conversion ratio, to innovative green cleaning in place (CIP) and food service chemicals that reduce water consumption and reduce plastic waste. Kersia has been trusted by global organisa",https://www.sfma.org.sg/member/info.php?cid=agis-medical-supplies-pte-ltd
Aitea Pte Ltd,1 Genting Link #08-02B Perfect One BuildingSingapore 349518,349518,+65 6320 3688,+65 6293 1357,daniel@aitea.sg,https://www.aitea.sg,"Aitea is an all-in-one service provider offering automated beverage solutions, 24/7 help desk, managed services, and on-site support to ensure seamless and efficient service for our customers. Our goal is to deliver convenience, quality, and reliability in every interaction.",https://www.sfma.org.sg/member/info.php?cid=aitea-pte-ltd
