company_name,job_count,job_titles,search_terms_matched,locations
RECRUIT EXPRESS PTE LTD,7,"*Entry Level* Manufacturing Engineer (On Job Training Provided!) (Up to $4,200)  #NJA; *NEW* Manufacturing Engineer ($4,500 to $5,500) #NJA; *New* Admin Assistant (Office Hours, 5 Days, No Experience Required – Training Provided) #HJG; Manufacturing Engineer (Aerospace)  -  5 days office hour#HHL; Manufacturing Engineer (Aerospace, Mechanical) #ESY",NPI engineer; manufacturing engineer; program engineer electronics; quotation engineer,Central; Islandwide
LUMINARY SERVICE PTE. LTD.,5,Finance Manager; HR Manager,NPI engineer; quotation engineer; sales engineer precision,Central
RECRUIT LYNC PTE. LTD.,4,NPI - Assistant QA Engineer (Manufacturing Industry) | 5 days; Production Engineer | No Exp Needed!; Sales Engineer- Automation.; Sales Engineer- Oil and Gas.,NPI engineer; manufacturing engineer; sales engineer precision,East; North
ANRADUS PTE. LTD.,4,Manufacturing Engineer #81261; Manufacturing Engineer (Plastic) #79721; Manufacturing Technician /  Manufacturing Engineer #80442; Sales Engineer (Semiconductor) #77166,manufacturing engineer; sales engineer precision,Islandwide
HKM HR MANAGEMENT PTE. LTD.,4,"CIM Engineer (Semiconductor, MES / East Region); CIM Engineer / IT Engineer (Semiconductor / East Region); CIM Engineer / Manufacturing Systems Engineer (Semiconductor / MES / East Region); Manufacturing Engineer / Production Supervisor (East Region, 12 hrs Shifts)",manufacturing engineer,West
A & ONE PRECISION ENGINEERING PTE. LTD.,4,Buyer @ Loyang; Sales Engineer; Sales Manager; Technical Sales & Project Specialist,sales engineer precision,East; Islandwide; West
ETLA LIMITED,3,"NPI Engineer (Sheetmetal); NPI Engineer, Precision Machining; Technician  /  Engineering Asst  /  Asst Engineers (Assembly, Build and Testing)",NPI engineer; manufacturing engineer,East
BUSINESS EDGE PERSONNEL SERVICES PTE LTD,3,Admin Receptionist,NPI engineer; estimator CNC; quotation engineer,Central
GCL GLOBAL PTE. LTD.,3,Senior Accountant,NPI engineer; quotation engineer; sales engineer precision,North
RAPIDO LOGISTICS PTE. LTD.,3,LOGISTICS MANAGER,NPI engineer; program engineer electronics; quotation engineer,Central
