company_name,job_title,location,salary,employment_type,seniority,category,applications,posted_date,search_term,job_url,scraped_date
MOLEX SINGAPORE PTE. LTD.,Senior NPI Engineer,West,"$4,500to$6,000 Monthly",Permanent ...,Executive,Engineering ...,14 applications,Posted 6 days ago,NPI engineer,https://www.mycareersfuture.gov.sg/job/engineering/senior-npi-engineer-molex-singapore-3fee417e9b4177059c67378e7bc23513?source=MCF&event=Search,2026-01-14
NETWORKINGAI PTE. LTD.,NPI /  Project Engineer,North,"$4,000to$4,900 Monthly",Full Time,Middle Management,Design ...,1 application,Posted 8 days ago,NPI engineer,https://www.mycareersfuture.gov.sg/job/design/npi-project-engineer-microcast-dbe07eac650f122000bfea9f57f72f97?source=MCF&event=Search,2026-01-14
LUMINARY SERVICE PTE. LTD.,HR Manager,Central,"$7,000to$12,800 Monthly",Full Time,Manager,Admin / Secretarial ...,72 applications,Posted 2 days ago,NPI engineer,https://www.mycareersfuture.gov.sg/job/admin/hr-manager-luminary-service-9bbf9bb553a62eebf88766dd89599413?source=MCF&event=SuggestedJob,2026-01-14
CHAWK TECHNOLOGY INT'L (SINGAPORE) PTE. LTD.,NPI Engineer,North,"$3,300to$4,000 Monthly",Full Time,Junior Executive,Engineering ...,2 applications,Posted 8 days ago,NPI engineer,https://www.mycareersfuture.gov.sg/job/engineering/npi-engineer-chawk-technology-intl-c731dd0aaf09bacaf8c3641d42f1851a?source=MCF&event=Search,2026-01-14
STATS CHIPPAC PTE. LTD.,NPI Engineer(Manufacturing),North,"$1,800to$2,400 Monthly",Full Time,Junior Executive,Engineering,2 applications,Posted 8 days ago,NPI engineer,https://www.mycareersfuture.gov.sg/job/engineering/npi-engineer-stats-chippac-e88130d9af289d723db61936eb61a91a?source=MCF&event=Search,2026-01-14
INGRASYS (SINGAPORE) PTE. LTD.,NPI Engineer,Islandwide,"$3,600to$5,000 Monthly",Permanent ...,Executive,Manufacturing ...,1 application,Posted 9 days ago,NPI engineer,https://www.mycareersfuture.gov.sg/job/manufacturing/npi-engineer-ingrasys-a80c081885e63a6ead601560d1352c71?source=MCF&event=Search,2026-01-14
ETLA LIMITED,NPI Engineer (Sheetmetal),East,"$3,500to$5,000 Monthly",Full Time,Middle Management,Engineering,3 applications,Posted 12 days ago,NPI engineer,https://www.mycareersfuture.gov.sg/job/engineering/npi-engineer-etla-cc1b2f8972d5a3205c7657dc4ad38050?source=MCF&event=Search,2026-01-14
ETLA LIMITED,"NPI Engineer, Precision Machining",East,"$3,500to$5,000 Monthly",Full Time,Middle Management,Engineering ...,4 applications,Posted 12 days ago,NPI engineer,https://www.mycareersfuture.gov.sg/job/engineering/npi-engineer-precision-machining-etla-94d2c2aecdc07bd1d6eb50805eba029a?source=MCF&event=Search,2026-01-14
TALENT TRADER GROUP PTE. LTD.,Urgent: NPI  /  Product Engineer (MNC | Semiconductor | Electronics),Islandwide,"$3,500to$5,000 Monthly",Permanent,Executive,Engineering,35 applications,Posted 14 days ago,NPI engineer,https://www.mycareersfuture.gov.sg/job/engineering/urgent-npi-product-engineer-talent-trader-group-a974799daa2f62b15ba982475f1bf750?source=MCF&event=Search,2026-01-14
INGRASYS (SINGAPORE) PTE. LTD.,NPI Engineer,Islandwide,"$3,600to$4,800 Monthly",Permanent ...,Senior Executive,Engineering ...,1 application,Posted 14 days ago,NPI engineer,https://www.mycareersfuture.gov.sg/job/engineering/npi-engineer-ingrasys-325806f5623272e59c38c380d3d9fbfc?source=MCF&event=Search,2026-01-14
