company_name,member_id,profile_url,source,scraped_date
A & One Precision Engineering Pte Ltd,1390324,https://speta.org/membership-directory/corporate/1390324#page-member-ajax,SPETA Corporate Directory,2026-01-14
ABB Pte Ltd,1390325,https://speta.org/membership-directory/corporate/1390325#page-member-ajax,SPETA Corporate Directory,2026-01-14
ABRASIVE ENGINEERING PTE LTD,1390326,https://speta.org/membership-directory/corporate/1390326#page-member-ajax,SPETA Corporate Directory,2026-01-14
ACCURON TECHNOLOGIES,1390327,https://speta.org/membership-directory/corporate/1390327#page-member-ajax,SPETA Corporate Directory,2026-01-14
Accusys Pte Ltd,2067312,https://speta.org/membership-directory/corporate/2067312#page-member-ajax,SPETA Corporate Directory,2026-01-14
Achromaz Pte Ltd,1401250,https://speta.org/membership-directory/corporate/1401250#page-member-ajax,SPETA Corporate Directory,2026-01-14
ACP Metal Finishing Pte Ltd,1390328,https://speta.org/membership-directory/corporate/1390328#page-member-ajax,SPETA Corporate Directory,2026-01-14
Adspark Technologies Pte Ltd,1390330,https://speta.org/membership-directory/corporate/1390330#page-member-ajax,SPETA Corporate Directory,2026-01-14
ADVANCE MATERIALS SUPPLIES PTE LTD,1661897,https://speta.org/membership-directory/corporate/1661897#page-member-ajax,SPETA Corporate Directory,2026-01-14
Advance Process Technologies Pte Ltd,1390331,https://speta.org/membership-directory/corporate/1390331#page-member-ajax,SPETA Corporate Directory,2026-01-14
Aetos Integrated Solutions Pte Ltd,1401251,https://speta.org/membership-directory/corporate/1401251#page-member-ajax,SPETA Corporate Directory,2026-01-14
AEyeMynd Pte. Ltd.,2081835,https://speta.org/membership-directory/corporate/2081835#page-member-ajax,SPETA Corporate Directory,2026-01-14
AGTRONZ PTE. LTD.,2173513,https://speta.org/membership-directory/corporate/2173513#page-member-ajax,SPETA Corporate Directory,2026-01-14
Aik Huat Precision Tools Pte Ltd,1390332,https://speta.org/membership-directory/corporate/1390332#page-member-ajax,SPETA Corporate Directory,2026-01-14
Aishmo Machine Tools Pte Ltd,1392704,https://speta.org/membership-directory/corporate/1392704#page-member-ajax,SPETA Corporate Directory,2026-01-14
AISHMO PRECISION TOOLS PTE LTD,2205931,https://speta.org/membership-directory/corporate/2205931#page-member-ajax,SPETA Corporate Directory,2026-01-14
Akiteck International Pte Ltd,1994170,https://speta.org/membership-directory/corporate/1994170#page-member-ajax,SPETA Corporate Directory,2026-01-14
Akribis Systems Pte Ltd,1392705,https://speta.org/membership-directory/corporate/1392705#page-member-ajax,SPETA Corporate Directory,2026-01-14
Alitec Pte Ltd,2227139,https://speta.org/membership-directory/corporate/2227139#page-member-ajax,SPETA Corporate Directory,2026-01-14
All Marketing Pte Ltd,2002410,https://speta.org/membership-directory/corporate/2002410#page-member-ajax,SPETA Corporate Directory,2026-01-14
Aluputer Industrial Pte Ltd,1392707,https://speta.org/membership-directory/corporate/1392707#page-member-ajax,SPETA Corporate Directory,2026-01-14
AMAX Precision (S) Pte Ltd,1392708,https://speta.org/membership-directory/corporate/1392708#page-member-ajax,SPETA Corporate Directory,2026-01-14
AMAZON WEB SERVICES SINGAPORE PTE LTD,1989183,https://speta.org/membership-directory/corporate/1989183#page-member-ajax,SPETA Corporate Directory,2026-01-14
AME International Pte Ltd,1392709,https://speta.org/membership-directory/corporate/1392709#page-member-ajax,SPETA Corporate Directory,2026-01-14
AME Synthesis Pte Ltd,1392710,https://speta.org/membership-directory/corporate/1392710#page-member-ajax,SPETA Corporate Directory,2026-01-14
AMT Pte Ltd,1392711,https://speta.org/membership-directory/corporate/1392711#page-member-ajax,SPETA Corporate Directory,2026-01-14
Anewtech Systems Pte Ltd,1440045,https://speta.org/membership-directory/corporate/1440045#page-member-ajax,SPETA Corporate Directory,2026-01-14
APP Systems Services Pte Ltd,2771369,https://speta.org/membership-directory/corporate/2771369#page-member-ajax,SPETA Corporate Directory,2026-01-14
Applied Total Control Treatment Pte Ltd,1392713,https://speta.org/membership-directory/corporate/1392713#page-member-ajax,SPETA Corporate Directory,2026-01-14
Aquapro Solutions Pte Ltd,1394895,https://speta.org/membership-directory/corporate/1394895#page-member-ajax,SPETA Corporate Directory,2026-01-14
ARBURG Pte Ltd,1394896,https://speta.org/membership-directory/corporate/1394896#page-member-ajax,SPETA Corporate Directory,2026-01-14
Armstrong Industrial Corp. Ltd,1394897,https://speta.org/membership-directory/corporate/1394897#page-member-ajax,SPETA Corporate Directory,2026-01-14
Asia Supply Trading Pte Ltd,1394901,https://speta.org/membership-directory/corporate/1394901#page-member-ajax,SPETA Corporate Directory,2026-01-14
Astech Pte Ltd,1394902,https://speta.org/membership-directory/corporate/1394902#page-member-ajax,SPETA Corporate Directory,2026-01-14
ASTRONIX PTE. LTD.,2426927,https://speta.org/membership-directory/corporate/2426927#page-member-ajax,SPETA Corporate Directory,2026-01-14
ATS Applied Tech Systems Pte Ltd,1394903,https://speta.org/membership-directory/corporate/1394903#page-member-ajax,SPETA Corporate Directory,2026-01-14
AUTEC SOLUTIONS PTE LTD,2281133,https://speta.org/membership-directory/corporate/2281133#page-member-ajax,SPETA Corporate Directory,2026-01-14
Avi-Tech Electronics Pte Ltd,1994157,https://speta.org/membership-directory/corporate/1994157#page-member-ajax,SPETA Corporate Directory,2026-01-14
AVIMAC PTE LTD,2948612,https://speta.org/membership-directory/corporate/2948612#page-member-ajax,SPETA Corporate Directory,2026-01-14
BALLUFF ASIA PTE LTD,1727521,https://speta.org/membership-directory/corporate/1727521#page-member-ajax,SPETA Corporate Directory,2026-01-14
BANSHING INDUSTRIAL CO (PTE) LTD,1395062,https://speta.org/membership-directory/corporate/1395062#page-member-ajax,SPETA Corporate Directory,2026-01-14
Baoxin International Limited Partnership,1942045,https://speta.org/membership-directory/corporate/1942045#page-member-ajax,SPETA Corporate Directory,2026-01-14
Beng Chuan Machine Pte Ltd,1903597,https://speta.org/membership-directory/corporate/1903597#page-member-ajax,SPETA Corporate Directory,2026-01-14
Beril Engineering (S) Pte Ltd,1440042,https://speta.org/membership-directory/corporate/1440042#page-member-ajax,SPETA Corporate Directory,2026-01-14
Beyonics International Pte Ltd,1424683,https://speta.org/membership-directory/corporate/1424683#page-member-ajax,SPETA Corporate Directory,2026-01-14
BLASER SWISSLUBE (S) PTE LTD,1401245,https://speta.org/membership-directory/corporate/1401245#page-member-ajax,SPETA Corporate Directory,2026-01-14
Blum Production Metrology Pte Ltd,1395066,https://speta.org/membership-directory/corporate/1395066#page-member-ajax,SPETA Corporate Directory,2026-01-14
Bossard Pte Ltd,1395067,https://speta.org/membership-directory/corporate/1395067#page-member-ajax,SPETA Corporate Directory,2026-01-14
Broadway Industrial Group Limited,1395068,https://speta.org/membership-directory/corporate/1395068#page-member-ajax,SPETA Corporate Directory,2026-01-14
Bufab Singapore (SEA) Pte Ltd,1395248,https://speta.org/membership-directory/corporate/1395248#page-member-ajax,SPETA Corporate Directory,2026-01-14
Business Engineering Solutions Pte Ltd,2832307,https://speta.org/membership-directory/corporate/2832307#page-member-ajax,SPETA Corporate Directory,2026-01-14
C&W ELECTRONICS PTE LTD,1395069,https://speta.org/membership-directory/corporate/1395069#page-member-ajax,SPETA Corporate Directory,2026-01-14
Cadvision Systems Pte Ltd,1395070,https://speta.org/membership-directory/corporate/1395070#page-member-ajax,SPETA Corporate Directory,2026-01-14
Cairnhill Metrology Pte Ltd,1395071,https://speta.org/membership-directory/corporate/1395071#page-member-ajax,SPETA Corporate Directory,2026-01-14
Cam Resources Pte Ltd,1395072,https://speta.org/membership-directory/corporate/1395072#page-member-ajax,SPETA Corporate Directory,2026-01-14
Carleton Precision Pte Ltd,2042753,https://speta.org/membership-directory/corporate/2042753#page-member-ajax,SPETA Corporate Directory,2026-01-14
Castor & Wheel Singapore Pte Ltd,1395074,https://speta.org/membership-directory/corporate/1395074#page-member-ajax,SPETA Corporate Directory,2026-01-14
Certact Engineering Pte Ltd,1395076,https://speta.org/membership-directory/corporate/1395076#page-member-ajax,SPETA Corporate Directory,2026-01-14
CF Global Technologies Pte Ltd,1401283,https://speta.org/membership-directory/corporate/1401283#page-member-ajax,SPETA Corporate Directory,2026-01-14
Champion Precision Engineering Pte Ltd,1395077,https://speta.org/membership-directory/corporate/1395077#page-member-ajax,SPETA Corporate Directory,2026-01-14
Chemtron Pte Ltd,1395078,https://speta.org/membership-directory/corporate/1395078#page-member-ajax,SPETA Corporate Directory,2026-01-14
Chong Fong Engineering Pte Ltd,1395080,https://speta.org/membership-directory/corporate/1395080#page-member-ajax,SPETA Corporate Directory,2026-01-14
CKE Manufacturing Pte Ltd,1395082,https://speta.org/membership-directory/corporate/1395082#page-member-ajax,SPETA Corporate Directory,2026-01-14
COMFORT MANAGEMENT PTE LTD,1401242,https://speta.org/membership-directory/corporate/1401242#page-member-ajax,SPETA Corporate Directory,2026-01-14
Common Alliance Engineering Pte Ltd,1395083,https://speta.org/membership-directory/corporate/1395083#page-member-ajax,SPETA Corporate Directory,2026-01-14
Component Technology Pte Ltd,1676739,https://speta.org/membership-directory/corporate/1676739#page-member-ajax,SPETA Corporate Directory,2026-01-14
Coway Engineering & Marketing Pte Ltd,1395084,https://speta.org/membership-directory/corporate/1395084#page-member-ajax,SPETA Corporate Directory,2026-01-14
Cragar Industries Pte Ltd,1395085,https://speta.org/membership-directory/corporate/1395085#page-member-ajax,SPETA Corporate Directory,2026-01-14
Creatz3D Pte Ltd,1395086,https://speta.org/membership-directory/corporate/1395086#page-member-ajax,SPETA Corporate Directory,2026-01-14
D & H PRECISION TOOLS PTE. LTD.,2144580,https://speta.org/membership-directory/corporate/2144580#page-member-ajax,SPETA Corporate Directory,2026-01-14
Daido DMS (Singapore) Pte Ltd,1395087,https://speta.org/membership-directory/corporate/1395087#page-member-ajax,SPETA Corporate Directory,2026-01-14
Decomet Metal Finishing Pte Ltd,1395089,https://speta.org/membership-directory/corporate/1395089#page-member-ajax,SPETA Corporate Directory,2026-01-14
Decor Industries Pte Ltd,1395090,https://speta.org/membership-directory/corporate/1395090#page-member-ajax,SPETA Corporate Directory,2026-01-14
DELSSON SINGAPORE PTE LTD,2026021,https://speta.org/membership-directory/corporate/2026021#page-member-ajax,SPETA Corporate Directory,2026-01-14
Delta Optics Technologies Pte Ltd,1395093,https://speta.org/membership-directory/corporate/1395093#page-member-ajax,SPETA Corporate Directory,2026-01-14
Disk Precision Industries Pte Ltd,1395096,https://speta.org/membership-directory/corporate/1395096#page-member-ajax,SPETA Corporate Directory,2026-01-14
DKSH Singapore Pte Ltd,1395098,https://speta.org/membership-directory/corporate/1395098#page-member-ajax,SPETA Corporate Directory,2026-01-14
Dou Yee Enterprises (S) Pte Ltd,2128844,https://speta.org/membership-directory/corporate/2128844#page-member-ajax,SPETA Corporate Directory,2026-01-14
DSC INDUSTRIAL PTE LTD,2410875,https://speta.org/membership-directory/corporate/2410875#page-member-ajax,SPETA Corporate Directory,2026-01-14
E-Star Precision (S) Pte Ltd,1395107,https://speta.org/membership-directory/corporate/1395107#page-member-ajax,SPETA Corporate Directory,2026-01-14
EcoPlus International Pte Ltd,1395079,https://speta.org/membership-directory/corporate/1395079#page-member-ajax,SPETA Corporate Directory,2026-01-14
Edmund Optics Singapore Pte Ltd,1395099,https://speta.org/membership-directory/corporate/1395099#page-member-ajax,SPETA Corporate Directory,2026-01-14
EKTech Industrial Pte Ltd,1440041,https://speta.org/membership-directory/corporate/1440041#page-member-ajax,SPETA Corporate Directory,2026-01-14
ELH TECH (S) PTE LTD,2959481,https://speta.org/membership-directory/corporate/2959481#page-member-ajax,SPETA Corporate Directory,2026-01-14
Elite Springs Pte Ltd,1395101,https://speta.org/membership-directory/corporate/1395101#page-member-ajax,SPETA Corporate Directory,2026-01-14
Energy Pipeline Services Private Limited,1395103,https://speta.org/membership-directory/corporate/1395103#page-member-ajax,SPETA Corporate Directory,2026-01-14
Engis Asia Pacific Pte Ltd,1395104,https://speta.org/membership-directory/corporate/1395104#page-member-ajax,SPETA Corporate Directory,2026-01-14
EPICOR SOFTWARE (SEA) PTE LTD,1401244,https://speta.org/membership-directory/corporate/1401244#page-member-ajax,SPETA Corporate Directory,2026-01-14
Eratech Pte Ltd,1395105,https://speta.org/membership-directory/corporate/1395105#page-member-ajax,SPETA Corporate Directory,2026-01-14
Erowa South East Asia Pte Ltd,1395106,https://speta.org/membership-directory/corporate/1395106#page-member-ajax,SPETA Corporate Directory,2026-01-14
