"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL","Logistics Services Offered","TMS Software Used","Carrier Partners Count & Names","Employee Range Fit","Has Ocean or Air","Has Ocean or Air (2)","Uses CargoWise","Multi Carrier","ICP Score","FF Verified"
,"GoComet","GoComet is the world's leading AI Powered Transportation & Freight Management Solution, revolutionising the Supply Chain and Logistics industry. In just 5 years, we've partnered with over 500 Global Brands, including 7 Fortune 500 companies... At GoComet, we're not just changing logistics; we're shaping the future of global commerce.","Transportation, Logistics, Supply Chain and Storage","201-500 employees","Privately Held","Singapore, Singapore","Singapore","gocomet.com","https://www.linkedin.com/company/go-comet","[{""serviceCategory"":""other"",""serviceName"":""RFQ Management (GoProcure)"",""serviceDescription"":""A platform for managing RFQ processes for shipping and lo...","Response","Response",false,false,false,false,true,0,false
,"Swire Shipping","For 150 years, Swire Shipping has helped customers all over the world achieve shipping and supply chain efficiencies with our sustainable and innovative shipping and landside solutions. Our purpose is to enrich lives through connecting our customers and communities around the world. We are dedicated to facilitating and growing trade in regions where we operate, and to building long-term, sustainable partnerships with our customers, suppliers and the communities we serve.

Headquartered in Singapore, Swire Shipping is a leading provider of specialist customer solutions for a wide range of cargo and aims to provide a full suite of land and ocean solutions to our customers.

We operate 13 liner services connecting over 400 ports via an extensive network of services in the Asia-Pacific and globally. Our multi-purpose fleet provides a wide range of specialist customer solutions for containerised, project, heavy lift, breakbulk and mini-bulk cargoes.

We are committed to providing effective solutions along with operational excellence and reliability, whilst maintaining the highest standards of customer service. Our customers are at the heart of everything we do, and we work closely with them to achieve mutual success – because when you succeed, we succeed.","Transportation, Logistics, Supply Chain and Storage","201-500 employees","Privately Held","Singapore","Singapore","swireshipping.com","https://www.linkedin.com/company/swire-shipping","[{""serviceCategory"":""ocean freight"",""serviceName"":"""",""serviceDescription"":""Swire Shipping provides ocean transportation services, including containeri...","Response","Response",false,true,true,false,false,0,false
,"Noble Group","Noble Resources and its subsidiaries are one of Asia's leading independent energy products and industrial raw materials supply chain managers and commodity traders.  Through our existing Asian regional presence and strategic global relationships, we source, market, process, supply, finance and transport these essential raw materials across Asia.  Our aim is to deliver value to our stakeholders through sustainable, focused franchises built on long-term supplier and customer relationships. We also provide offtake and risk management to our clients.","Transportation, Logistics, Supply Chain and Storage","201-500 employees","Privately Held","Singapore, Central Singapore","Singapore","thisisnoble.com","https://www.linkedin.com/company/noble-group","[{""serviceCategory"":""other"",""serviceName"":""Supply chain support for raw materials"",""serviceDescription"":""Supports sourcing, processing, marketing, tra...","Response","Response",false,false,false,false,false,0,false
,"Goodpack","With more than 4.5 million returnable containers and 5000+ delivery and collection locations across the globe, Goodpack manages the largest movement of metal containers, anywhere in the world.

Since 1990, Goodpack has consistently increased its global presence and established itself as a premier partner in delivering supply chain solutions to customers in many of the most demanding industry sectors.

As part of the leading global investment firm KKR, Goodpack believes in delivering value for all partners, employees, stakeholders and shareholders. Our long-term commitment comprises corporate social responsibility, environmental sustainability and continuous viability without compromise.

Savings, Efficiency and Sustainability

At Goodpack, we are in the business of solutions. We ensure the efficiency of our customers' supply chains through robust and innovative packaging solutions.

Underpinning our global business is our mission to Network@Work, which places a strong emphasis on internal and external networks to get the best outcome for the company, employees, partners and customers alike. 

The key to the success of Goodpack’s mission is that it forms the essence of our brand and customer delivery model. This powerful message is instilled in every transaction, product movement and action that our people and partners undertake. 

We aim to exceed our customers’ expectations and are driven to succeed for all stakeholders as a collective.

With a global network of drop-off and pick-up locations, more than 7 million global movements annually, operations in 80 countries and more than 4.3 million active returnable containers - our customers can rest assured that their products will be transported with the highest level of care and get where they need to go on time and within budget.

For more information, please visit our website www.goodpack.com.","Transportation, Logistics, Supply Chain and Storage","201-500 employees","Privately Held","Singapore","Singapore","goodpack.com","https://www.linkedin.com/company/goodpack-limited","[{""serviceCategory"":""other"",""serviceName"":"""",""serviceDescription"":""Goodpack provides reusable intermediate bulk containers (IBCs) designed for multimo...","Response","Response",false,false,false,false,false,0,false
,"SeaLead","Founded in 2017, SeaLead has established itself as a leading service provider in the global container shipping market. Headquartered in Singapore, we have regional offices in China, Türkiye, India, the UAE, United States, Spain, Philippines, Malaysia, and South Korea, along with agencies covering key markets worldwide.

Globally, SeaLead is present in 47 locations and operates over 55 vessels across 77 ports, with a total capacity of just over 200,000 teu, placing it in the 13th place in Alphaliner’s league of carriers.","Transportation, Logistics, Supply Chain and Storage","201-500 employees","Privately Held","Singapore","Singapore","sea-lead.com","https://www.linkedin.com/company/sea-lead","[{""fcl"":""yes"",""lcl"":""yes"",""evidenceUrl"":""https://www.sea-lead.com/services/"",""serviceName"":""Ocean Freight Routes"",""serviceCategory"":""ocean freight"",""s...","Response","Response",false,true,true,false,false,0,false
,"RightShip","At RightShip we provide expertise in global safety, sustainability and social responsibility best practice to the maritime industry. 

Our unrivalled combination of years of seafaring expertise, vast access to data, analytics and an intuitive digital platform means we offer pertinent, balanced insights to our customer across the maritime ecosystem, supporting them on a journey to zero harm.

By this we mean zero harm to ships, to the cargo those ships carry, to the seafarers diligently carrying out their duties on board, and of course, zero harm to the environment the vessels are trading in.

Actively incorporating Environmental, Social and Governance (ESG) metrics spanning marine emissions and pollution, crew welfare and ship safety into the solutions we offer, are all essential elements of a zero harm vision.

We’re dedicated to supporting our customers to meet government and industry emission reduction targets, decarbonisation and air quality initiatives through our GHG rating, Carbon Accounting tool and Maritime Emissions Portal. 

Our Safety Score, vettings and inspections services highlight the importance of good safety practices on board and support the industry in striving for excellence. 

Finally, our Crew Welfare Self-Assessment demonstrates the ambition that weaves through everything we do - that each seafarer should return home safely from their voyage, thanks to well-managed working environments supporting the health and wellbeing of every crew member. 

At RightShip, we’ve seen an increasing demand for transparency and verifiable data. Our insights, and the truth they provide are collated and measured by our experts. Vitally, this means that those results can also be managed, allowing the maritime industry certainty that it’s making progress towards a safe, sustainable and socially conscious future.","Transportation, Logistics, Supply Chain and Storage","201-500 employees","Privately Held","Singapore, Singapore","Singapore","rightship.com","https://www.linkedin.com/company/rightship-group-pte-ltd","[{""serviceCategory"":""other"",""serviceName"":""RightPORT & Maritime Emissions Portal"",""serviceDescription"":""Risk management solutions for ports, terminals...","Response","Response",false,false,false,false,false,0,false
,"Swire Bulk","Swire Bulk is a leading vessel owner and operator in the dry bulk geared sector, with a trading fleet of around 125 Handysize and Supra/Ultramax vessels controlled by six commercial offices around the world. Headquartered in Singapore, Swire Bulk is the specialist bulk trading arm of the multinational Swire Group, leveraging its strong track record and market-leading reputation to serve global commodity markets. The company operates one of the most modern and fuel-efficient fleets on the water. With a diversified cargo base, firm commitments out to 2041, and a balanced vessel operating mix between owned and chartered tonnage, Swire Bulk is well-placed to be a long-term partner of choice for its global customers and deliver market-leading, innovative and sustainable freight solutions.","Transportation, Logistics, Supply Chain and Storage","51-200 employees","Privately Held","Singapore, Singapore","Singapore","swirebulk.com","https://www.linkedin.com/company/swirebulk","[{""serviceCategory"":""ocean freight"",""serviceName"":""Dry Bulk Shipping"",""serviceDescription"":""Swire Bulk specializes in dry bulk shipping, transporting ...","Response","Response",true,false,false,false,false,0,false
,"Portcast","Portcast is a predictive supply chain visibility platform that helps manufacturers and logistics providers reduce delays, control costs, and manage disruptions before they escalate.

Key features include real-time tracking for containers, vessels, and air cargo, visibility into port and terminal events, carrier updates, shipping performance insights, emissions reporting, and automated freight audits powered by AI.

Using a global data network and proprietary machine learning, Portcast delivers accurate ETA and ETD predictions, identifies the root causes of delays, and sends proactive alerts through dashboard or API. This enables teams to act early, handle exceptions effectively, and move toward a more touchless supply chain.","Transportation, Logistics, Supply Chain and Storage","11-50 employees","Privately Held","Singapore, Singapore","Singapore","portcast.io","https://www.linkedin.com/company/portcast","[{""serviceCategory"":""other"",""serviceName"":""Real-Time Container Tracking"",""serviceDescription"":""Provides real-time visibility on container locations an...","Response","Response",false,false,false,false,true,0,false
,"Quantium Solutions","Quantium Solutions specialises in logistics and fulfilment services to businesses within the Asia Pacific region.

Quantium Solutions International currently has an established network of offices in 10 countries within the region and provides a range of value-added services such as letter shopping, data management and printing, mailroom management, freight logistics, warehousing, fulfilment, international distribution and hand delivery.

Formerly known as G3 Worldwide Aspac Pte Ltd ( trading as Spring Global Mail), Quantium Solutions was incorporated in 2001 as a joint venture with TNT, Royal Mail and Singapore Post. The company was 100% acquired by Singapore Post Ltd in 2009.","Transportation, Logistics, Supply Chain and Storage","201-500 employees","Privately Held","Singapore","Singapore","quantiumsolutions.com","https://www.linkedin.com/company/quantium-solutions","[{""serviceName"":""Cross Border Shipping"",""serviceCategory"":""other"",""serviceDescription"":""Quantium Solutions offers cross border shipping services suppo...","Response","Response",false,true,true,false,false,0,false
,"Acteus Group","Acteus is a trusted leader and MRO Integrator, delivering innovative procurement solutions, supply chain management, and technical services to global industries. With over 50 years of combined expertise, our team supports critical sectors including Oil & Gas, Aviation, Fuelling, Fuel Depots, Terminals, F&B, FMCG, Mining, Power Plants, NGOs, Renewable Energy, and Construction.

Our global footprint enables us to provide consistent, high-quality services across varied and challenging environments, including remote locations. We pride ourselves on building long-term partnerships with clients, suppliers, and stakeholders—relationships that reflect our competitive edge and unwavering commitment to excellence.

We build long-term partnerships with clients, suppliers, and stakeholders, reflecting our competitive edge and commitment to excellence. At Acteus, we uphold the highest standards of integrity, transparency, and fairness, ensuring that health, safety, and sustainability remain at the core of our operations. We work closely with our partners to align with these values, creating resilient and responsible supply chains.","Transportation, Logistics, Supply Chain and Storage","51-200 employees","Privately Held","SINGAPORE, SINGAPORE","Singapore","acteusgroup.com","https://www.linkedin.com/company/acteus","[{""serviceCategory"":""other"",""serviceName"":""Procurement & Supply Chain Solutions"",""serviceDescription"":""Acteus Group provides procurement, transportati...","Response","Response",true,false,false,false,false,0,false
